hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,550.000,1.171429E-008,4.100,429.000,0
1,1.000000,24.343669,549.080,1.142857E-008,4.000,440.000,0
2,2.000000,27.182489,548.126,1.200000E-008,4.200,424.000,0
3,3.000000,30.016057,547.051,1.371429E-008,4.800,412.000,0
4,4.000000,32.844442,546.122,1.200000E-008,4.200,415.000,0
5,5.000000,35.668054,545.206,1.200000E-008,4.200,417.000,0
6,6.000000,38.486675,544.194,1.342857E-008,4.700,407.000,0
7,7.000000,41.299985,543.153,1.400000E-008,4.900,427.000,0
8,8.000000,44.107464,541.941,1.657143E-008,5.800,432.000,0
9,9.000000,46.908194,540.546,1.942857E-008,6.800,431.000,0
10,10.000000,49.701463,539.058,2.114286E-008,7.400,434.000,0
11,11.000000,52.487268,537.660,2.028571E-008,7.100,444.000,0
12,12.000000,55.266359,536.462,1.771429E-008,6.200,449.000,0
13,13.000000,58.039501,535.360,1.657143E-008,5.800,444.000,0
14,14.000000,60.807277,534.387,1.485714E-008,5.200,437.000,0
15,15.000000,63.570673,533.667,1.114286E-008,3.900,453.000,0
16,16.000000,66.331962,533.571,1.481581E-009,0.519,492.644,0
17,17.000000,69.090641,532.660,1.428571E-008,5.000,489.000,0
18,18.000000,71.844962,531.886,1.228571E-008,4.300,500.000,0
19,19.000000,74.595624,531.245,1.028571E-008,3.600,504.000,0
20,20.000000,77.344469,531.183,1.000000E-009,0.211,521.010,0
21,21.000000,80.091648,530.602,9.428571E-009,3.300,512.000,0
22,22.000000,82.837165,530.541,1.000000E-009,0.218,531.357,0
23,23.000000,85.581031,529.965,9.428571E-009,3.300,513.000,0
24,24.000000,88.321975,529.411,9.142857E-009,3.200,506.000,0
25,25.000000,91.061125,529.271,2.332242E-009,0.816,516.170,0
26,26.000000,93.798449,528.706,9.428571E-009,3.300,511.000,0
27,27.000000,96.532951,528.180,8.857143E-009,3.100,512.000,0
28,28.000000,99.265941,528.121,1.000000E-009,0.163,505.411,0
29,29.000000,101.998625,528.062,1.000000E-009,0.032,495.000,0
30,30.000000,104.730950,527.982,1.348177E-009,0.472,448.791,0
31,31.000000,107.462917,527.923,1.000000E-009,0.174,440.781,0
32,32.000000,110.194579,527.864,1.000000E-009,0.062,439.024,0
33,33.000000,112.925936,527.805,1.004442E-009,0.352,429.732,0
34,34.000000,115.656988,527.746,1.000000E-009,0.287,423.730,0
35,35.000000,118.386675,527.278,8.000000E-009,2.800,421.000,0
36,36.000000,121.113905,526.797,8.285714E-009,2.900,423.000,0
37,37.000000,123.839640,526.700,1.677566E-009,0.587,446.094,0
38,38.000000,126.563802,526.190,8.857143E-009,3.100,444.000,0
39,39.000000,129.286415,526.100,1.571233E-009,0.550,439.390,0
40,40.000000,132.008498,525.985,2.010873E-009,0.704,439.672,0
41,41.000000,134.730135,525.928,1.000000E-009,0.141,429.000,0
42,42.000000,137.451476,525.871,1.000000E-009,0.347,451.499,0
43,43.000000,140.172523,525.814,1.000000E-009,0.169,446.934,0
44,44.000000,142.893274,525.757,1.000000E-009,0.144,447.295,0
45,45.000000,145.613731,525.700,1.000000E-009,0.204,447.275,0
46,46.000000,148.333894,525.643,1.000000E-009,0.183,424.267,0
47,47.000000,151.052485,525.093,9.714286E-009,3.400,418.000,0
48,48.000000,153.769331,524.967,2.239627E-009,0.784,431.565,0
49,49.000000,156.485704,524.911,1.000000E-009,0.191,446.088,0
50,50.000000,159.201651,524.802,1.941339E-009,0.679,428.644,0
51,51.000000,161.917098,524.718,1.498190E-009,0.524,438.437,0
52,52.000000,164.632169,524.657,1.095839E-009,0.384,444.684,0
53,53.000000,167.345516,524.052,1.085714E-008,3.800,434.000,0
54,54.000000,170.055587,523.391,1.200000E-008,4.200,422.000,0
55,55.000000,172.763697,523.293,1.786731E-009,0.625,423.654,0
56,56.000000,175.471271,523.184,1.996559E-009,0.699,438.208,0
57,57.000000,178.177657,522.834,6.425209E-009,2.249,446.850,0
58,58.000000,180.882338,522.525,5.700121E-009,1.995,433.108,0
59,59.000000,183.584509,521.865,1.228571E-008,4.300,416.000,0
60,60.000000,186.284837,521.812,1.000000E-009,0.149,409.439,0
61,61.000000,188.984887,521.758,1.000000E-009,0.145,431.287,0
62,62.000000,191.684409,521.607,2.832182E-009,0.991,405.616,0
63,63.000000,194.383333,521.527,1.508148E-009,0.528,426.579,0
64,64.000000,197.081912,521.474,1.000000E-009,0.038,431.079,0
65,65.000000,199.778905,520.915,1.057143E-008,3.700,428.000,0
66,66.000000,202.474115,520.784,2.486715E-009,0.870,429.159,0
67,67.000000,205.168851,520.732,1.000000E-009,0.078,393.371,0
68,68.000000,207.863135,520.609,2.334579E-009,0.817,405.814,0
69,69.000000,210.556753,520.474,2.581017E-009,0.903,401.641,0
70,70.000000,213.248520,519.895,1.114286E-008,3.900,401.000,0
71,70.651421,215.000000,519.502,1.171429E-008,4.100,405.000,0
