hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,276.000,1.000000E-009,0.209,404.312,0
1,1.000000,22.928445,276.094,1.700416E-009,0.595,392.017,0
2,2.000000,24.357580,276.266,3.122912E-009,1.093,394.000,0
3,3.000000,25.787601,276.437,3.096127E-009,1.084,390.532,0
4,4.000000,27.218206,276.492,1.000000E-009,0.112,385.148,0
5,5.000000,28.649094,276.547,1.000000E-009,0.211,373.758,0
6,6.000000,30.080267,276.601,1.000000E-009,0.109,364.849,0
7,7.000000,31.511723,276.656,1.000000E-009,0.254,384.806,0
8,8.000000,32.944975,277.295,1.171429E-008,4.100,368.000,0
9,9.000000,34.380016,277.349,1.000000E-009,0.273,391.807,0
10,10.000000,35.815337,277.403,1.000000E-009,0.347,395.464,0
11,11.000000,37.251159,277.542,2.576264E-009,0.902,368.864,0
12,12.000000,38.687798,277.719,3.277725E-009,1.147,357.730,0
13,13.000000,40.125578,277.983,4.921369E-009,1.722,360.345,0
14,14.000000,41.564181,278.037,1.000000E-009,0.283,355.000,0
15,15.000000,43.003060,278.090,1.000000E-009,0.321,358.080,0
16,16.000000,44.442238,278.152,1.154899E-009,0.404,356.358,0
17,17.000000,45.881994,278.314,3.025616E-009,1.059,353.695,0
18,18.000000,47.322571,278.469,2.929494E-009,1.025,352.675,0
19,19.000000,48.763945,278.622,2.867451E-009,1.004,343.629,0
20,20.000000,50.206148,278.789,3.164432E-009,1.108,341.237,0
21,21.000000,51.649229,278.961,3.256640E-009,1.140,335.696,0
22,22.000000,53.093198,279.133,3.256525E-009,1.140,335.565,0
23,23.000000,54.538014,279.288,2.963152E-009,1.037,331.831,0
24,24.000000,55.983485,279.386,1.857398E-009,0.650,361.052,0
25,25.000000,57.429667,279.563,3.394227E-009,1.188,354.043,0
26,26.000000,58.876795,279.752,3.608995E-009,1.263,357.000,0
27,27.000000,60.324922,279.950,3.810711E-009,1.334,344.679,0
28,28.000000,61.774113,280.163,4.115534E-009,1.440,333.868,0
29,29.000000,63.224327,280.345,3.527291E-009,1.235,331.480,0
30,30.000000,64.677104,281.152,1.576020E-008,5.516,369.098,0
31,31.000000,66.134239,282.029,1.738177E-008,6.084,371.693,0
32,32.000000,67.597166,283.387,2.742857E-008,9.600,374.000,0
33,33.000000,69.065519,284.129,1.525685E-008,5.340,431.312,0
34,34.000000,70.540188,285.822,3.552714E-008,12.434,436.032,0
35,35.000000,72.021899,286.856,2.225247E-008,7.788,434.682,0
36,36.000000,73.510000,288.289,3.147637E-008,11.017,435.436,0
37,37.000000,75.006028,289.918,3.680655E-008,12.882,435.260,0
38,38.000000,76.513106,292.546,6.171429E-008,21.600,443.000,0
39,39.000000,78.029596,293.574,2.496662E-008,8.738,448.173,0
40,40.000000,79.549573,293.897,7.946661E-009,2.781,461.723,0
41,41.000000,81.073685,295.167,3.171429E-008,11.100,458.000,0
42,42.000000,82.601202,295.218,1.298909E-009,0.455,492.977,0
43,43.000000,84.129975,295.652,1.100907E-008,3.853,463.845,0
44,44.000000,85.662229,296.562,2.342857E-008,8.200,465.000,0
45,45.000000,87.199106,297.438,2.294209E-008,8.030,471.281,0
46,46.000000,88.740439,298.285,2.253509E-008,7.887,467.574,0
47,47.000000,90.286455,299.248,2.610768E-008,9.138,465.885,0
48,48.000000,91.836390,299.801,1.522086E-008,5.327,462.935,0
49,49.000000,93.392620,301.671,5.271100E-008,18.449,506.303,0
50,50.000000,94.961620,304.716,9.028571E-008,31.600,502.000,0
51,51.000000,96.545490,307.424,8.528500E-008,29.850,493.679,0
52,52.000000,98.137825,308.012,1.917626E-008,6.712,509.202,0
53,53.000000,99.741276,311.672,1.251429E-007,43.800,489.000,0
54,54.000000,101.356706,312.687,3.655803E-008,12.795,510.774,0
55,55.000000,102.977215,313.636,3.493348E-008,12.227,510.289,0
56,56.000000,104.605790,315.790,8.228571E-008,28.800,521.000,0
57,57.000000,106.241015,316.224,1.707817E-008,5.977,486.560,0
58,58.000000,107.880231,317.328,4.428571E-008,15.500,505.000,0
59,59.000000,109.523442,317.772,1.815298E-008,6.354,489.534,0
60,60.000000,111.169645,318.483,2.944541E-008,10.306,469.096,0
61,61.000000,112.819047,319.010,2.218438E-008,7.765,474.109,0
62,62.000000,114.471063,319.493,2.057537E-008,7.201,486.000,0
63,63.000000,116.125583,319.978,2.091017E-008,7.319,471.555,0
64,64.000000,117.782246,320.322,1.497175E-008,5.240,483.929,0
65,65.000000,119.441411,320.944,2.742857E-008,9.600,489.000,0
66,66.000000,121.102879,321.214,1.204147E-008,4.215,514.693,0
67,67.000000,122.765418,321.358,6.449549E-009,2.257,483.596,0
68,68.000000,124.428579,321.454,4.346199E-009,1.521,501.756,0
69,69.000000,126.092380,321.605,6.783338E-009,2.374,501.719,0
70,70.000000,127.756626,321.627,1.000000E-009,0.087,486.787,0
71,71.000000,129.421729,321.935,1.400000E-008,4.900,495.000,0
72,72.000000,131.088759,322.371,2.000000E-008,,,1
