hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,515.000,3.735791E-009,1.308,341.983,0
1,1.000000,24.164654,514.889,2.337795E-009,0.818,340.600,0
2,2.000000,26.828199,514.572,6.694389E-009,2.343,338.909,0
3,3.000000,29.490559,514.431,2.986852E-009,1.045,350.534,0
4,4.000000,32.152300,514.332,2.084339E-009,0.730,347.406,0
5,5.000000,34.810437,513.042,2.772449E-008,9.704,360.070,0
6,6.000000,37.465065,512.971,1.549471E-009,0.542,379.239,0
7,7.000000,40.118719,512.666,6.658809E-009,2.331,368.324,0
8,8.000000,42.767621,511.142,3.381987E-008,11.837,366.411,0
9,9.000000,45.411666,510.782,8.107410E-009,2.838,392.781,0
10,10.000000,48.050950,509.308,3.382716E-008,11.840,400.385,0
11,11.000000,50.683068,508.011,3.050196E-008,10.676,397.149,0
12,12.000000,53.311618,507.924,2.084217E-009,0.729,414.472,0
13,13.000000,55.936319,506.529,3.368972E-008,11.791,433.808,0
14,14.000000,58.554012,505.215,3.258377E-008,11.404,412.010,0
15,15.000000,61.168167,505.156,1.461762E-009,0.512,419.316,0
16,16.000000,63.779016,503.942,3.086506E-008,10.803,411.479,0
17,17.000000,66.386566,503.876,1.687240E-009,0.591,432.752,0
18,18.000000,68.993809,503.823,1.364610E-009,0.478,445.707,0
19,19.000000,71.598485,502.887,2.434878E-008,8.522,431.558,0
20,20.000000,74.200453,502.774,2.975785E-009,1.042,451.076,0
21,21.000000,76.801392,502.490,7.483629E-009,2.619,455.691,0
22,22.000000,79.399301,501.604,2.361780E-008,8.266,458.763,0
23,23.000000,81.994137,501.300,8.217314E-009,2.876,470.484,0
24,24.000000,84.587776,501.142,4.293745E-009,1.503,491.594,0
25,25.000000,87.180475,500.937,5.572632E-009,1.950,454.762,0
26,26.000000,89.770679,500.179,2.082194E-008,7.288,449.872,0
27,27.000000,92.357914,499.788,1.085539E-008,3.799,463.861,0
28,28.000000,94.943098,499.386,1.126592E-008,3.943,450.910,0
29,29.000000,97.525337,498.651,2.081681E-008,7.286,444.715,0
30,30.000000,100.104987,498.384,7.650495E-009,2.678,447.715,0
31,31.000000,102.683237,498.110,7.881301E-009,2.758,457.135,0
32,32.000000,105.259085,497.457,1.897096E-008,6.640,437.881,0
33,33.000000,107.832591,497.203,7.442606E-009,2.605,436.405,0
34,34.000000,110.403878,496.601,1.782481E-008,6.239,457.464,0
35,35.000000,112.972281,496.088,1.534779E-008,5.372,456.435,0
36,36.000000,115.538959,495.934,4.645760E-009,1.626,445.978,0
37,37.000000,118.104146,495.512,1.278292E-008,4.474,452.416,0
38,38.000000,120.666966,495.019,1.509867E-008,5.285,424.817,0
39,39.000000,123.228082,494.853,5.105724E-009,1.787,444.622,0
40,40.000000,125.787796,494.477,1.165531E-008,4.079,437.349,0
41,41.000000,128.346295,494.383,2.937513E-009,1.028,453.235,0
42,42.000000,130.904180,494.240,4.460326E-009,1.561,454.640,0
43,43.000000,133.461447,494.144,3.002349E-009,1.051,451.666,0
44,44.000000,136.018206,494.043,3.154924E-009,1.104,451.894,0
45,45.000000,138.573925,493.742,9.485199E-009,3.320,441.520,0
46,46.000000,141.127830,493.343,1.268635E-008,4.440,438.520,0
47,47.000000,143.680468,493.252,2.906624E-009,1.017,435.076,0
48,48.000000,146.232489,493.105,4.707939E-009,1.648,436.765,0
49,49.000000,148.783860,493.001,3.329556E-009,1.165,421.580,0
50,50.000000,151.334526,492.832,5.439417E-009,1.904,435.390,0
51,51.000000,153.884321,492.664,5.405403E-009,1.892,433.943,0
52,52.000000,156.433486,492.588,2.472341E-009,0.865,437.880,0
53,53.000000,158.981454,492.202,1.254955E-008,4.392,423.276,0
54,54.000000,161.527402,491.807,1.295372E-008,4.534,423.049,0
55,55.000000,164.071715,491.569,7.864176E-009,2.752,406.754,0
56,56.000000,166.614728,491.305,8.780223E-009,3.073,405.228,0
57,57.000000,169.156643,491.145,5.345073E-009,1.871,409.191,0
58,58.000000,171.697155,490.764,1.280939E-008,4.483,406.944,0
59,59.000000,174.235727,490.395,1.247905E-008,4.368,407.189,0
60,60.000000,176.773158,490.322,2.478877E-009,0.868,411.359,0
61,61.000000,179.309948,490.147,5.975024E-009,2.091,404.850,0
62,62.000000,181.845582,489.876,9.295925E-009,3.254,395.409,0
63,63.000000,184.379844,489.617,8.933268E-009,3.127,414.667,0
64,64.000000,186.912335,489.192,1.477446E-008,5.171,407.325,0
65,65.000000,189.443070,488.938,8.896190E-009,3.114,396.186,0
66,66.000000,191.972575,488.716,7.796435E-009,2.729,399.674,0
67,67.000000,194.500897,488.480,8.347314E-009,2.922,389.310,0
68,68.000000,197.027782,488.161,1.136013E-008,3.976,377.417,0
69,69.000000,199.553215,487.919,8.691639E-009,3.042,390.299,0
70,70.000000,202.076944,487.503,1.501130E-008,5.254,381.814,0
71,71.000000,204.598891,487.230,9.942841E-009,3.480,369.936,0
72,72.000000,207.118720,486.685,2.000000E-008,,,1
