hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,942.000,1.631744E-008,4.079,437.349,0
1,1.000000,26.363322,937.685,4.112519E-009,1.028,453.235,0
2,2.000000,31.198829,931.264,6.244457E-009,1.561,454.640,0
3,3.000000,36.006798,927.027,4.203288E-009,1.051,451.666,0
4,4.000000,40.792470,922.647,4.416894E-009,1.104,451.894,0
5,5.000000,45.533607,909.907,1.327928E-008,3.320,441.520,0
6,6.000000,50.199952,893.807,1.776089E-008,4.440,438.520,0
7,7.000000,54.815890,890.261,4.069274E-009,1.017,435.076,0
8,8.000000,59.408031,884.623,6.591114E-009,1.648,436.765,0
9,9.000000,63.975500,880.714,4.661379E-009,1.165,421.580,0
10,10.000000,68.516633,874.461,7.615184E-009,1.904,435.390,0
11,11.000000,73.025926,868.407,7.567564E-009,1.892,433.943,0
12,12.000000,77.512576,865.689,3.461278E-009,0.865,437.880,0
13,13.000000,81.957399,852.364,1.756937E-008,4.392,423.276,0
14,14.000000,86.334181,839.388,1.813521E-008,4.534,423.049,0
15,15.000000,90.658142,831.867,1.100985E-008,2.752,406.754,0
16,16.000000,94.941670,823.768,1.229231E-008,3.073,405.228,0
17,17.000000,99.191954,818.985,7.483102E-009,1.871,409.191,0
18,18.000000,103.401105,807.950,1.793314E-008,4.483,406.944,0
19,19.000000,107.555331,797.745,1.747067E-008,4.368,407.189,0
20,20.000000,111.678280,795.778,3.470428E-009,0.868,411.359,0
21,21.000000,115.784040,791.117,8.365034E-009,2.091,404.850,0
22,22.000000,119.859467,784.079,1.301429E-008,3.254,395.409,0
23,23.000000,123.899806,777.550,1.250657E-008,3.127,414.667,0
24,24.000000,127.896391,767.226,2.068424E-008,5.171,407.325,0
25,25.000000,131.851037,761.277,1.245467E-008,3.114,396.186,0
26,26.000000,135.777230,756.220,1.091501E-008,2.729,399.674,0
27,27.000000,139.676725,750.961,1.168624E-008,2.922,389.310,0
28,28.000000,143.544674,744.047,1.590418E-008,3.976,377.417,0
29,29.000000,147.381571,738.939,1.216829E-008,3.042,390.299,0
30,30.000000,151.183207,730.465,2.101582E-008,5.254,381.814,0
31,31.000000,154.949098,725.081,1.391998E-008,3.480,369.936,0
32,32.000000,158.693372,722.089,7.937642E-009,1.984,369.400,0
33,33.000000,162.420189,718.340,1.015725E-008,2.539,385.106,0
34,34.000000,166.127872,714.693,1.011302E-008,2.528,366.042,0
35,35.000000,169.815404,710.557,1.175653E-008,2.939,375.661,0
36,36.000000,173.482195,706.674,1.132382E-008,2.831,381.057,0
37,37.000000,177.116441,698.044,2.622826E-008,6.557,392.404,0
38,38.000000,180.708095,690.200,2.518970E-008,6.297,449.314,0
39,39.000000,184.260848,682.999,2.435869E-008,6.090,466.591,0
40,40.000000,187.741144,662.642,7.607601E-008,19.019,455.845,0
41,41.000000,191.143592,652.536,4.232509E-008,10.581,438.138,0
42,41.781667,193.775810,648.997,2.000000E-008,,,1
