hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,399.000,3.666667E-009,2.200,428.000,0
1,1.000000,23.564683,399.000,3.666667E-009,2.200,423.000,0
2,2.000000,25.629366,399.000,3.666667E-009,2.200,423.000,0
3,3.000000,27.694049,399.000,3.500000E-009,2.100,416.000,0
4,4.000000,29.758733,399.000,4.000000E-009,2.400,412.000,0
5,5.000000,31.823416,399.000,4.333333E-009,2.600,404.000,0
6,6.000000,33.888100,399.000,3.833333E-009,2.300,393.000,0
7,7.000000,35.952783,399.000,3.833333E-009,2.300,387.000,0
8,8.000000,38.017467,399.000,4.166667E-009,2.500,382.000,0
9,9.000000,40.082150,399.000,3.500000E-009,2.100,378.000,0
10,10.000000,42.146834,399.000,3.000000E-009,1.800,377.000,0
11,11.000000,44.211518,399.000,5.333333E-009,3.200,378.000,0
12,12.000000,46.276202,399.000,5.833333E-009,3.500,378.000,0
13,13.000000,48.340886,399.000,6.500000E-009,3.900,364.000,0
14,14.000000,50.405570,399.000,7.333333E-009,4.400,362.000,0
15,15.000000,52.470254,399.000,6.166667E-009,3.700,376.000,0
16,16.000000,54.534939,399.000,8.500000E-009,5.100,367.000,0
17,17.000000,56.599623,399.000,6.833333E-009,4.100,348.000,0
18,18.000000,58.664308,399.000,6.333333E-009,3.800,342.000,0
19,19.000000,60.728993,399.000,6.500000E-009,3.900,343.000,0
20,20.000000,62.793678,399.000,6.333333E-009,3.800,347.000,0
21,21.000000,64.858363,399.000,7.333333E-009,4.400,335.000,0
22,22.000000,66.923048,399.000,7.833333E-009,4.700,334.000,0
23,23.000000,68.987733,399.000,7.166667E-009,4.300,328.000,0
24,24.000000,71.052419,399.000,7.000000E-009,4.200,336.000,0
25,25.000000,73.117104,399.001,6.666667E-009,4.000,326.000,0
26,26.000000,75.181790,399.001,7.000000E-009,4.200,324.000,0
27,27.000000,77.246476,399.001,7.166667E-009,4.300,324.000,0
28,28.000000,79.311162,399.001,6.833333E-009,4.100,320.000,0
29,29.000000,81.375848,399.001,6.500000E-009,3.900,307.000,0
30,30.000000,83.440534,399.001,6.500000E-009,3.900,309.000,0
31,31.000000,85.505220,399.001,7.166667E-009,4.300,311.000,0
32,32.000000,87.569907,399.001,9.333333E-009,5.600,318.000,0
33,33.000000,89.634594,399.001,9.833333E-009,5.900,327.000,0
34,34.000000,91.699280,399.001,1.033333E-008,6.200,339.000,0
35,35.000000,93.763967,399.001,1.116667E-008,6.700,333.000,0
36,36.000000,95.828655,399.001,1.183333E-008,7.100,327.000,0
37,37.000000,97.893342,399.001,1.233333E-008,7.400,334.000,0
38,38.000000,99.958030,399.001,1.250000E-008,7.500,340.000,0
39,39.000000,102.022718,399.001,1.216667E-008,7.300,321.000,0
40,40.000000,104.087406,399.001,1.233333E-008,7.400,312.000,0
41,41.000000,106.152095,399.001,1.266667E-008,7.600,310.000,0
42,42.000000,108.216783,399.001,1.366667E-008,8.200,313.000,0
43,43.000000,110.281472,399.001,1.550000E-008,9.300,310.000,0
44,44.000000,112.346161,399.001,1.466667E-008,8.800,302.000,0
45,45.000000,114.410851,399.001,1.400000E-008,8.400,291.000,0
46,46.000000,116.475541,399.001,1.250000E-008,7.500,310.000,0
47,47.000000,118.540231,399.001,1.250000E-008,7.500,309.000,0
48,48.000000,120.604921,399.001,1.316667E-008,7.900,309.000,0
49,49.000000,122.669611,399.001,1.233333E-008,7.400,305.000,0
50,50.000000,124.734302,399.001,1.100000E-008,6.600,302.000,0
51,51.000000,126.798993,399.002,1.433333E-008,8.600,303.000,0
52,52.000000,128.863684,399.002,1.616667E-008,9.700,314.000,0
53,53.000000,130.928375,399.002,1.783333E-008,10.700,306.000,0
54,54.000000,132.993067,399.002,1.900000E-008,11.400,304.000,0
55,55.000000,135.057759,399.002,1.983333E-008,11.900,302.000,0
56,56.000000,137.122452,399.002,1.850000E-008,11.100,316.000,0
57,57.000000,139.187145,399.002,1.733333E-008,10.400,309.000,0
58,58.000000,141.251838,399.002,1.533333E-008,9.200,307.000,0
59,59.000000,143.316531,399.002,1.400000E-008,8.400,300.000,0
60,60.000000,145.381225,399.002,1.300000E-008,7.800,299.000,0
61,61.000000,147.445919,399.002,1.350000E-008,8.100,293.000,0
62,62.000000,149.510613,399.002,1.333333E-008,8.000,291.000,0
63,63.000000,151.575308,399.002,1.383333E-008,8.300,289.000,0
64,64.000000,153.640002,399.002,1.583333E-008,9.500,288.000,0
65,65.000000,155.704698,399.002,1.716667E-008,10.300,289.000,0
66,66.000000,157.769393,399.002,1.833333E-008,11.000,289.000,0
67,67.000000,159.834089,399.002,2.016667E-008,12.100,295.000,0
68,68.000000,161.898785,399.003,1.983333E-008,11.900,295.000,0
69,69.000000,163.963481,399.003,1.850000E-008,11.100,292.000,0
70,70.000000,166.028178,399.003,1.950000E-008,11.700,297.000,0
71,71.000000,168.092875,399.003,1.983333E-008,11.900,303.000,0
72,72.000000,170.157573,399.003,2.000000E-008,,,1
