hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,417.000,1.000000E-009,0.050,388.416,0
1,1.000000,23.657824,416.999,1.000000E-009,0.182,388.065,0
2,2.000000,25.815640,416.997,1.973913E-009,1.184,375.218,0
3,3.000000,27.973448,416.996,1.000000E-009,0.576,378.849,0
4,4.000000,30.131230,416.987,8.500000E-009,5.100,366.000,0
5,5.000000,32.288987,416.986,1.000000E-009,0.203,382.346,0
6,6.000000,34.446739,416.985,1.000000E-009,0.183,374.826,0
7,7.000000,36.604485,416.984,1.000000E-009,0.167,383.454,0
8,8.000000,38.762225,416.983,1.000000E-009,0.207,383.018,0
9,9.000000,40.919961,416.982,1.000000E-009,0.351,376.508,0
10,10.000000,43.077671,416.973,8.333333E-009,5.000,389.000,0
11,11.000000,45.235336,416.964,8.666667E-009,5.200,385.000,0
12,12.000000,47.392975,416.963,1.000000E-009,0.510,388.792,0
13,13.000000,49.550587,416.954,9.000000E-009,5.400,370.000,0
14,14.000000,51.708171,416.952,1.346645E-009,0.808,368.784,0
15,15.000000,53.865745,416.950,2.411171E-009,1.447,352.611,0
16,16.000000,56.023309,416.949,1.257279E-009,0.754,350.999,0
17,17.000000,58.180868,416.948,1.006276E-009,0.604,348.789,0
18,18.000000,60.338398,416.938,9.333333E-009,5.600,355.000,0
19,19.000000,62.495901,416.937,1.000000E-009,0.330,372.437,0
20,20.000000,64.653399,416.936,1.000000E-009,0.434,368.426,0
21,21.000000,66.810891,416.935,1.000000E-009,0.354,365.097,0
22,22.000000,68.968379,416.934,1.000000E-009,0.281,364.342,0
23,23.000000,71.125852,416.930,4.067070E-009,2.440,356.176,0
24,24.000000,73.283311,416.928,1.283943E-009,0.770,352.282,0
25,25.000000,75.440756,416.924,4.077665E-009,2.447,354.459,0
26,26.000000,77.598177,416.919,5.035419E-009,3.021,346.242,0
27,27.000000,79.755570,416.913,5.278340E-009,3.167,358.690,0
28,28.000000,81.912915,416.900,1.277534E-008,7.665,359.901,0
29,29.000000,84.070219,416.898,2.368236E-009,1.421,338.151,0
30,30.000000,86.227512,416.896,2.179211E-009,1.308,341.983,0
31,31.000000,88.384795,416.894,1.363714E-009,0.818,340.600,0
32,32.000000,90.542064,416.890,3.905060E-009,2.343,338.909,0
33,33.000000,92.699319,416.888,1.742330E-009,1.045,350.534,0
34,34.000000,94.856565,416.887,1.215864E-009,0.730,347.406,0
35,35.000000,97.013765,416.871,1.617262E-008,9.704,360.070,0
36,36.000000,99.170920,416.870,1.000000E-009,0.542,379.239,0
37,37.000000,101.328061,416.866,3.884305E-009,2.331,368.324,0
38,38.000000,103.485140,416.845,1.972826E-008,11.837,366.411,0
39,39.000000,105.642155,416.841,4.729323E-009,2.838,392.781,0
40,40.000000,107.799105,416.821,1.973251E-008,11.840,400.385,0
41,41.000000,109.955956,416.802,1.779281E-008,10.676,397.149,0
42,42.000000,112.112757,416.801,1.215793E-009,0.729,414.472,0
43,43.000000,114.269503,416.781,1.965234E-008,11.791,433.808,0
44,44.000000,116.426147,416.762,1.900720E-008,11.404,412.010,0
45,45.000000,118.582740,416.761,1.000000E-009,0.512,419.316,0
46,46.000000,120.739282,416.743,1.800462E-008,10.803,411.479,0
47,47.000000,122.895775,416.742,1.000000E-009,0.591,432.752,0
48,48.000000,125.052263,416.741,1.000000E-009,0.478,445.707,0
49,49.000000,127.208711,416.726,1.420346E-008,8.522,431.558,0
50,50.000000,129.365118,416.725,1.735874E-009,1.042,451.076,0
51,51.000000,131.521508,416.720,4.365450E-009,2.619,455.691,0
52,52.000000,133.677852,416.706,1.377705E-008,8.266,458.763,0
53,53.000000,135.834147,416.702,4.793433E-009,2.876,470.484,0
54,54.000000,137.990423,416.699,2.504685E-009,1.503,491.594,0
55,55.000000,140.146684,416.696,3.250702E-009,1.950,454.762,0
56,56.000000,142.302905,416.684,1.214613E-008,7.288,449.872,0
57,57.000000,144.459079,416.677,6.332313E-009,3.799,463.861,0
58,58.000000,146.615218,416.671,6.571784E-009,3.943,450.910,0
59,59.000000,148.771310,416.659,1.214314E-008,7.286,444.715,0
60,60.000000,150.927358,416.654,4.462788E-009,2.678,447.715,0
61,61.000000,153.083384,416.650,4.597426E-009,2.758,457.135,0
62,62.000000,155.239368,416.639,1.106639E-008,6.640,437.881,0
63,63.000000,157.395313,416.634,4.341520E-009,2.605,436.405,0
64,64.000000,159.551220,416.624,1.039781E-008,6.239,457.464,0
65,65.000000,161.707077,416.615,8.952878E-009,5.372,456.435,0
66,66.000000,163.862904,416.612,2.710027E-009,1.626,445.978,0
67,67.000000,166.018705,416.605,7.456705E-009,4.474,452.416,0
68,68.000000,168.174465,416.596,8.807559E-009,5.285,424.817,0
69,69.000000,170.330194,416.593,2.978339E-009,1.787,444.622,0
70,70.000000,172.485898,416.586,6.798933E-009,4.079,437.349,0
71,71.000000,174.641580,416.585,1.713550E-009,1.028,453.235,0
72,72.000000,176.797206,416.565,2.000000E-008,,,1
