hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,1220.000,1.511081E-008,7.555,426.369,0
1,1.000000,27.741641,1192.702,1.166539E-008,5.833,420.754,0
2,2.000000,33.809752,1153.292,1.833280E-008,9.166,435.501,0
3,3.000000,39.665458,1110.762,2.206543E-008,11.033,451.808,0
4,4.000000,45.292426,1065.073,2.684817E-008,13.424,470.018,0
5,5.000000,50.757060,1047.171,1.155343E-008,5.777,495.216,0
6,6.000000,56.148560,1036.701,7.058004E-009,3.529,528.168,0
7,7.000000,61.426767,1003.904,2.369357E-008,11.847,615.852,0
8,8.000000,66.593220,992.996,8.460575E-009,4.230,576.095,0
9,9.000000,71.677071,972.160,1.705870E-008,8.529,593.651,0
10,10.000000,76.653360,951.431,1.825078E-008,9.125,592.470,0
11,11.000000,81.534654,935.348,1.513313E-008,7.567,589.386,0
12,12.000000,86.354893,927.711,7.508753E-009,3.754,574.010,0
13,13.000000,91.146412,924.218,3.507503E-009,1.754,606.930,0
14,14.000000,95.918032,920.024,4.273544E-009,2.137,612.255,0
15,15.000000,100.668477,916.033,4.131188E-009,2.066,625.028,0
16,16.000000,105.376413,903.684,1.319814E-008,6.599,630.040,0
17,17.000000,110.023142,892.362,1.268087E-008,6.340,630.433,0
18,18.000000,114.638544,891.491,1.000000E-009,0.271,681.123,0
19,19.000000,119.248857,890.395,1.263229E-009,0.632,684.426,0
20,20.000000,123.844341,885.774,5.388410E-009,2.694,679.220,0
21,21.000000,128.424596,884.496,1.508883E-009,0.754,678.042,0
22,22.000000,132.990547,880.257,5.060610E-009,2.530,676.835,0
23,23.000000,137.540108,878.152,2.545965E-009,1.273,659.487,0
24,24.000000,142.078873,876.084,2.523916E-009,1.262,655.851,0
25,25.000000,146.583124,864.898,1.403808E-008,7.019,670.670,0
26,26.000000,151.054136,863.150,2.255028E-009,1.128,645.166,0
27,27.000000,155.517159,861.809,1.741206E-009,0.871,658.517,0
28,28.000000,159.965150,857.354,5.860044E-009,2.930,665.647,0
29,29.000000,164.397141,855.613,2.320645E-009,1.160,638.982,0
30,30.000000,168.822073,854.624,1.326201E-009,0.663,649.140,0
31,31.000000,173.242525,853.881,1.000000E-009,0.260,662.547,0
32,32.000000,177.659139,853.141,1.000000E-009,0.497,647.805,0
33,33.000000,182.061946,848.560,6.260700E-009,3.130,649.447,0
34,34.000000,186.441962,844.330,5.894590E-009,2.947,665.331,0
35,35.000000,190.808800,843.453,1.236007E-009,0.618,665.223,0
36,36.000000,195.160511,838.502,7.073521E-009,3.537,648.252,0
37,37.000000,199.495759,837.073,2.070368E-009,1.035,623.350,0
38,38.000000,203.817989,833.479,5.269731E-009,2.635,635.446,0
39,39.000000,208.121118,829.692,5.647724E-009,2.824,616.576,0
40,40.000000,212.409380,827.724,2.973413E-009,1.487,787.791,0
41,40.608969,215.000000,820.942,1.736329E-008,8.682,757.247,0
