hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,250.000,1.139403E-008,6.267,401.770,0
1,1.000000,22.799104,252.094,2.621730E-008,14.420,405.825,0
2,2.000000,24.108807,254.097,2.578185E-008,14.180,432.762,0
3,3.000000,25.433237,257.764,4.909091E-008,27.000,429.000,0
4,4.000000,26.767722,258.014,3.429680E-009,1.886,454.573,0
5,5.000000,28.107355,259.747,2.418182E-008,13.300,467.000,0
6,6.000000,29.451639,259.818,1.000000E-009,0.256,513.908,0
7,7.000000,30.796288,259.889,1.000000E-009,0.421,554.725,0
8,8.000000,32.141364,259.983,1.331663E-009,0.732,574.572,0
9,9.000000,33.489294,260.989,1.436364E-008,7.900,564.000,0
10,10.000000,34.840067,261.085,1.368493E-009,0.753,582.060,0
11,11.000000,36.191346,261.185,1.442922E-009,0.794,595.536,0
12,12.000000,37.543185,261.301,1.676338E-009,0.922,625.099,0
13,13.000000,38.895632,261.420,1.723977E-009,0.948,643.471,0
14,14.000000,40.248568,261.489,1.000000E-009,0.401,658.732,0
15,15.000000,41.603592,262.226,1.072727E-008,5.900,658.000,0
16,16.000000,42.960696,262.295,1.000000E-009,0.328,670.544,0
17,17.000000,44.320088,263.109,1.200000E-008,6.600,653.000,0
18,18.000000,45.681757,263.176,1.000000E-009,0.394,654.109,0
19,19.000000,47.043775,263.244,1.000000E-009,0.420,647.765,0
20,20.000000,48.406142,263.311,1.000000E-009,0.450,648.606,0
21,21.000000,49.771014,264.210,1.345455E-008,7.400,652.000,0
22,22.000000,51.140135,264.954,1.127273E-008,6.200,594.000,0
23,23.000000,52.511668,265.143,2.884778E-009,1.587,666.323,0
24,24.000000,53.884294,265.376,3.564427E-009,1.960,661.942,0
25,25.000000,55.257690,265.441,1.000000E-009,0.461,656.105,0
26,26.000000,56.633454,266.289,1.309091E-008,7.200,683.000,0
27,27.000000,58.013007,266.907,9.636364E-009,5.300,681.000,0
28,28.000000,59.394319,266.970,1.000000E-009,0.403,697.463,0
29,29.000000,60.775961,267.034,1.000000E-009,0.511,674.947,0
30,30.000000,62.159082,267.541,8.000000E-009,4.400,679.000,0
31,31.000000,63.543677,267.605,1.000000E-009,0.245,682.524,0
32,32.000000,64.928599,267.668,1.000000E-009,0.508,677.636,0
33,33.000000,66.315074,268.204,8.545455E-009,4.700,658.000,0
34,34.000000,67.703096,268.267,1.000000E-009,0.317,672.283,0
35,35.000000,69.091479,268.343,1.224175E-009,0.673,667.265,0
36,36.000000,70.480220,268.405,1.000000E-009,0.207,660.675,0
37,37.000000,71.870352,268.880,7.636364E-009,4.200,667.000,0
38,38.000000,73.262871,269.328,7.272727E-009,4.000,672.000,0
39,39.000000,74.656709,269.390,1.000000E-009,0.365,658.000,0
40,40.000000,76.050864,269.451,1.000000E-009,0.098,668.522,0
41,41.000000,77.445337,269.513,1.000000E-009,0.094,681.119,0
42,42.000000,78.840127,269.574,1.000000E-009,0.137,669.652,0
43,43.000000,80.235234,269.635,1.000000E-009,0.229,659.683,0
44,44.000000,81.630658,269.696,1.000000E-009,0.213,666.396,0
45,45.000000,83.027044,270.007,5.090909E-009,2.800,666.000,0
46,46.000000,84.424389,270.067,1.000000E-009,0.130,660.969,0
47,47.000000,85.822049,270.128,1.000000E-009,0.234,655.090,0
48,48.000000,87.220024,270.189,1.000000E-009,0.190,654.370,0
49,49.000000,88.618312,270.250,1.000000E-009,0.257,654.405,0
50,50.000000,90.016914,270.310,1.000000E-009,0.202,645.767,0
51,51.000000,91.416469,270.618,5.090909E-009,2.800,657.000,0
52,52.000000,92.816974,270.678,1.000000E-009,0.123,668.273,0
53,53.000000,94.217792,270.738,1.000000E-009,0.414,655.841,0
54,54.000000,95.619556,271.044,5.090909E-009,2.800,642.000,0
55,55.000000,97.022264,271.103,1.000000E-009,0.133,635.721,0
56,56.000000,98.425886,271.396,4.909091E-009,2.700,636.000,0
57,57.000000,99.830452,271.468,1.207808E-009,0.664,632.441,0
58,58.000000,101.236013,271.781,5.272727E-009,2.900,629.000,0
59,59.000000,102.642536,271.840,1.000000E-009,0.348,633.005,0
60,60.000000,104.049365,271.899,1.000000E-009,0.430,613.612,0
61,61.000000,105.456500,271.958,1.000000E-009,0.051,600.125,0
62,62.000000,106.863940,272.017,1.000000E-009,0.173,604.432,0
63,63.000000,108.271694,272.079,1.052946E-009,0.579,608.000,0
64,64.000000,109.679762,272.139,1.009679E-009,0.555,611.634,0
65,65.000000,111.088138,272.199,1.015417E-009,0.558,607.712,0
66,66.000000,112.496821,272.257,1.000000E-009,0.376,599.189,0
67,67.000000,113.906511,272.588,5.636364E-009,3.100,600.000,0
68,68.000000,115.317206,272.646,1.000000E-009,0.142,578.661,0
69,69.000000,116.728956,272.995,6.000000E-009,3.300,586.000,0
70,70.000000,118.141761,273.053,1.000000E-009,0.465,587.379,0
71,71.000000,119.555478,273.348,5.090909E-009,2.800,577.000,0
72,72.000000,120.972927,274.493,2.000000E-008,,,1
