activity_id,launch_time,initial_speed_kms,observed_transit_hours,arrival_time_hours,error_hours,termination_reason,shock_arrived,n_missing_hours,density_coverage,gamma_eff_mean,gamma_eff_final
2026-03-10T04:48:00-CME-001,2026-03-10T04:48:00.0000000Z,550.0,74.300,70.000,-4.300,target_reached,0,0,1.000,6.911762E-09,6.850419E-09
2026-03-13T06:24:00-CME-001,2026-03-13T06:24:00.0000000Z,250.0,181.883,,,timeout,0,0,1.000,1.156171E-08,5.574898E-09
2026-03-13T12:48:00-CME-001,2026-03-13T12:48:00.0000000Z,289.0,156.717,,,timeout,0,0,1.000,9.381034E-09,5.967264E-09
2026-03-16T13:26:00-CME-001,2026-03-16T13:26:00.0000000Z,483.0,84.083,,,timeout,0,0,1.000,9.342859E-09,1.002454E-08
2026-03-16T15:24:00-CME-001,2026-03-16T15:24:00.0000000Z,229.0,206.483,,,timeout,0,0,1.000,9.415204E-09,1.111756E-08
2026-03-17T05:08:00-CME-001,2026-03-17T05:08:00.0000000Z,429.0,68.383,,,timeout,0,0,1.000,1.245321E-08,3.652747E-08
2026-03-17T05:48:00-CME-001,2026-03-17T05:48:00.0000000Z,630.0,67.717,61.000,-6.717,target_reached,0,0,1.000,1.091168E-08,1.085949E-08
2026-03-17T06:38:00-CME-001,2026-03-17T06:38:00.0000000Z,470.0,66.883,,,timeout,0,0,1.000,1.281197E-08,3.313509E-08
2026-03-17T08:23:00-CME-001,2026-03-17T08:23:00.0000000Z,434.0,65.133,,,timeout,0,0,1.000,1.409446E-08,4.601855E-08
2026-03-17T10:53:00-CME-001,2026-03-17T10:53:00.0000000Z,287.0,62.633,,,timeout,0,0,1.000,1.541391E-08,3.139992E-08
2026-03-17T16:53:00-CME-001,2026-03-17T16:53:00.0000000Z,508.0,75.400,,,timeout,0,0,1.000,1.635760E-08,4.480134E-08
2026-03-18T09:23:00-CME-001,2026-03-18T09:23:00.0000000Z,731.0,58.900,59.000,0.100,target_reached,0,0,1.000,1.957432E-08,6.269179E-08
2026-03-18T19:36:00-CME-001,2026-03-18T19:36:00.0000000Z,276.0,154.283,,,timeout,0,0,1.000,2.550144E-08,1.190791E-08
2026-03-21T08:24:00-CME-001,2026-03-21T08:24:00.0000000Z,491.0,93.483,,,timeout,0,0,1.000,7.695443E-09,4.895897E-09
2026-03-22T16:23:00-CME-001,2026-03-22T16:23:00.0000000Z,655.0,61.500,58.000,-3.500,target_reached,0,0,1.000,4.408932E-09,3.817624E-09
2026-03-22T23:24:00-CME-001,2026-03-22T23:24:00.0000000Z,739.0,54.483,51.000,-3.483,target_reached,0,0,1.000,3.991145E-09,3.718126E-09
2026-03-25T06:48:00-CME-001,2026-03-25T06:48:00.0000000Z,267.0,172.683,,,timeout,0,0,1.000,8.035405E-09,9.520285E-09
2026-03-25T15:48:00-CME-001,2026-03-25T15:48:00.0000000Z,295.0,163.683,,,timeout,0,0,1.000,7.771099E-09,9.728808E-09
