activity_id,launch_time,initial_speed_kms,observed_transit_hours,arrival_time_hours,error_hours,termination_reason,shock_arrived,n_missing_hours,density_coverage,gamma_eff_mean,gamma_eff_final
2026-03-10T04:48:00-CME-001,2026-03-10T04:48:00.0000000Z,550.0,74.300,70.000,-4.300,target_reached,0,0,1.000,6.868210E-09,6.807254E-09
2026-03-13T06:24:00-CME-001,2026-03-13T06:24:00.0000000Z,250.0,181.883,,,timeout,0,0,1.000,1.148886E-08,5.539769E-09
2026-03-13T12:48:00-CME-001,2026-03-13T12:48:00.0000000Z,289.0,156.717,,,timeout,0,0,1.000,9.321923E-09,5.929664E-09
2026-03-16T13:26:00-CME-001,2026-03-16T13:26:00.0000000Z,483.0,84.083,,,timeout,0,0,1.000,9.283988E-09,9.961374E-09
2026-03-16T15:24:00-CME-001,2026-03-16T15:24:00.0000000Z,229.0,206.483,,,timeout,0,0,1.000,9.355878E-09,1.104750E-08
2026-03-17T05:08:00-CME-001,2026-03-17T05:08:00.0000000Z,429.0,68.383,,,timeout,0,0,1.000,1.237474E-08,3.629731E-08
2026-03-17T05:48:00-CME-001,2026-03-17T05:48:00.0000000Z,630.0,67.717,61.000,-6.717,target_reached,0,0,1.000,1.084292E-08,1.079107E-08
2026-03-17T06:38:00-CME-001,2026-03-17T06:38:00.0000000Z,470.0,66.883,,,timeout,0,0,1.000,1.273124E-08,3.292631E-08
2026-03-17T08:23:00-CME-001,2026-03-17T08:23:00.0000000Z,434.0,65.133,,,timeout,0,0,1.000,1.400565E-08,4.572858E-08
2026-03-17T10:53:00-CME-001,2026-03-17T10:53:00.0000000Z,287.0,62.633,,,timeout,0,0,1.000,1.531678E-08,3.120206E-08
2026-03-17T16:53:00-CME-001,2026-03-17T16:53:00.0000000Z,508.0,75.400,,,timeout,0,0,1.000,1.625453E-08,4.451904E-08
2026-03-18T09:23:00-CME-001,2026-03-18T09:23:00.0000000Z,731.0,58.900,59.000,0.100,target_reached,0,0,1.000,1.945098E-08,6.229676E-08
2026-03-18T19:36:00-CME-001,2026-03-18T19:36:00.0000000Z,276.0,154.283,,,timeout,0,0,1.000,2.534075E-08,1.183288E-08
2026-03-21T08:24:00-CME-001,2026-03-21T08:24:00.0000000Z,491.0,93.483,,,timeout,0,0,1.000,7.646953E-09,4.865047E-09
2026-03-22T16:23:00-CME-001,2026-03-22T16:23:00.0000000Z,655.0,61.500,58.000,-3.500,target_reached,0,0,1.000,4.381150E-09,3.793568E-09
2026-03-22T23:24:00-CME-001,2026-03-22T23:24:00.0000000Z,739.0,54.483,51.000,-3.483,target_reached,0,0,1.000,3.965996E-09,3.694698E-09
2026-03-25T06:48:00-CME-001,2026-03-25T06:48:00.0000000Z,267.0,172.683,,,timeout,0,0,1.000,7.984773E-09,9.460296E-09
2026-03-25T15:48:00-CME-001,2026-03-25T15:48:00.0000000Z,295.0,163.683,,,timeout,0,0,1.000,7.722132E-09,9.667505E-09
2026-03-26T21:24:00-CME-001,2026-03-26T21:24:00.0000000Z,355.0,134.083,,,timeout,0,0,1.000,1.413391E-08,2.121983E-08
2026-03-27T23:12:00-CME-001,2026-03-27T23:12:00.0000000Z,417.0,108.283,,,timeout,0,0,1.000,1.634660E-08,9.005937E-09
2026-03-28T01:26:00-CME-001,2026-03-28T01:26:00.0000000Z,397.0,106.050,,,timeout,0,0,1.000,1.629620E-08,9.340566E-09
2026-03-28T17:09:00-CME-001,2026-03-28T17:09:00.0000000Z,300.0,141.883,,,timeout,0,0,1.000,1.594391E-08,1.046407E-08
2026-03-28T23:48:00-CME-001,2026-03-28T23:48:00.0000000Z,511.0,83.683,,,timeout,0,0,1.000,1.570663E-08,1.309525E-08
2026-03-29T05:12:00-CME-001,2026-03-29T05:12:00.0000000Z,515.0,78.283,,,timeout,0,0,1.000,1.480908E-08,1.123990E-08
2026-03-29T11:12:00-CME-001,2026-03-29T11:12:00.0000000Z,505.0,72.283,,,timeout,0,0,1.000,1.366521E-08,3.654086E-08
2026-03-30T03:24:00-CME-001,2026-03-30T03:24:00.0000000Z,1689.0,56.083,32.000,-24.083,target_reached,0,0,1.000,1.022571E-08,7.652016E-09
2026-03-30T21:15:00-CME-001,2026-03-30T21:15:00.0000000Z,768.0,38.233,54.000,15.767,target_reached,0,0,1.000,1.573402E-08,2.238907E-08
2026-03-30T21:30:00-CME-001,2026-03-30T21:30:00.0000000Z,942.0,37.983,46.000,8.017,target_reached,0,0,1.000,1.317068E-08,3.565463E-08
2026-04-01T00:24:00-CME-001,2026-04-01T00:24:00.0000000Z,525.0,62.633,,,timeout,0,0,1.000,1.386248E-08,4.826010E-09
2026-04-01T02:36:00-CME-001,2026-04-01T02:36:00.0000000Z,573.0,60.433,,,timeout,0,0,1.000,1.371962E-08,7.708777E-09
2026-04-01T05:09:00-CME-001,2026-04-01T05:09:00.0000000Z,622.0,57.883,69.000,11.117,target_reached,0,0,1.000,1.384177E-08,7.662575E-09
2026-04-01T23:45:00-CME-001,2026-04-01T23:45:00.0000000Z,1220.0,39.283,42.000,2.717,target_reached,0,0,1.000,9.532728E-09,1.021087E-08
