hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,267.000,7.000000E-009,3.500,547.000,0
1,1.000000,22.882651,267.394,6.210017E-009,3.105,586.640,0
2,2.000000,24.266485,267.458,1.000000E-009,0.079,585.078,0
3,3.000000,25.652147,268.100,1.020000E-008,5.100,587.000,0
4,4.000000,27.039711,268.194,1.514085E-009,0.757,577.621,0
5,5.000000,28.427761,268.287,1.483485E-009,0.742,577.825,0
6,6.000000,29.816276,268.374,1.396150E-009,0.698,549.868,0
7,7.000000,31.205513,268.566,3.078023E-009,1.539,595.803,0
8,8.000000,32.595560,268.687,1.950870E-009,0.975,570.541,0
9,9.000000,33.986299,268.834,2.363723E-009,1.182,531.652,0
10,10.000000,35.377664,268.929,1.544009E-009,0.772,531.086,0
11,11.000000,36.769552,269.035,1.720420E-009,0.860,528.578,0
12,12.000000,38.161875,269.097,1.000000E-009,0.043,487.307,0
13,13.000000,39.555377,269.491,6.400000E-009,3.200,511.000,0
14,14.000000,40.950054,269.552,1.000000E-009,0.155,478.294,0
15,15.000000,42.345049,269.613,1.000000E-009,0.032,454.100,0
16,16.000000,43.740360,269.675,1.000000E-009,0.014,453.570,0
17,17.000000,45.135988,269.736,1.000000E-009,0.050,465.282,0
18,18.000000,46.531932,269.797,1.000000E-009,0.130,469.201,0
19,19.000000,47.928192,269.858,1.000000E-009,0.160,470.797,0
20,20.000000,49.324767,269.919,1.000000E-009,0.177,479.981,0
21,21.000000,50.722883,270.452,8.800000E-009,4.400,479.000,0
22,22.000000,52.122535,270.513,1.000000E-009,0.103,459.606,0
23,23.000000,53.523496,270.958,7.400000E-009,3.700,474.000,0
24,24.000000,54.925762,271.018,1.000000E-009,0.021,443.379,0
25,25.000000,56.329358,271.472,7.600000E-009,3.800,470.000,0
26,26.000000,57.734281,271.531,1.000000E-009,0.010,437.511,0
27,27.000000,59.140889,272.122,1.000000E-008,5.000,452.000,0
28,28.000000,60.549178,272.181,1.000000E-009,0.022,467.655,0
29,29.000000,61.959015,272.720,9.200000E-009,4.600,451.000,0
30,30.000000,63.370395,272.778,1.000000E-009,0.022,465.106,0
31,31.000000,64.783279,273.301,9.000000E-009,4.500,455.000,0
32,32.000000,66.197661,273.358,1.000000E-009,0.012,438.604,0
33,33.000000,67.613653,273.922,9.800000E-009,4.900,452.000,0
34,34.000000,69.032164,274.332,7.200000E-009,3.600,441.000,0
35,35.000000,70.451883,274.389,1.000000E-009,0.031,474.533,0
36,36.000000,71.871896,274.446,1.000000E-009,0.056,493.091,0
37,37.000000,73.293024,274.819,6.600000E-009,3.300,469.000,0
38,38.000000,74.716107,275.202,6.800000E-009,3.400,470.000,0
39,39.000000,76.140446,275.306,1.851830E-009,0.926,488.631,0
40,40.000000,77.565199,275.361,1.000000E-009,0.131,455.972,0
41,41.000000,78.990242,275.417,1.000000E-009,0.326,462.012,0
42,42.000000,80.415573,275.473,1.000000E-009,0.237,458.895,0
43,43.000000,81.841194,275.529,1.000000E-009,0.068,472.115,0
44,44.000000,83.267103,275.585,1.000000E-009,0.055,472.656,0
45,45.000000,84.694421,276.073,8.800000E-009,4.400,463.000,0
46,46.000000,86.123145,276.129,1.000000E-009,0.022,426.259,0
47,47.000000,87.553039,276.525,7.200000E-009,3.600,468.000,0
48,48.000000,88.984864,276.875,6.400000E-009,3.200,449.000,0
49,49.000000,90.417736,276.930,1.000000E-009,0.136,441.525,0
50,50.000000,91.850890,276.984,1.000000E-009,0.357,428.710,0
51,51.000000,93.285170,277.364,7.000000E-009,3.500,435.000,0
52,52.000000,94.721690,277.850,9.000000E-009,4.500,411.000,0
53,53.000000,96.159674,277.931,1.511453E-009,0.756,406.550,0
54,54.000000,97.598006,277.985,1.000000E-009,0.208,420.937,0
55,55.000000,99.036616,278.038,1.000000E-009,0.292,408.069,0
56,56.000000,100.476608,278.518,9.000000E-009,4.500,413.000,0
57,57.000000,101.918021,278.588,1.312154E-009,0.656,396.390,0
58,58.000000,103.359751,278.641,1.000000E-009,0.144,406.199,0
59,59.000000,104.801871,278.739,1.843806E-009,0.922,387.944,0
60,60.000000,106.244381,278.791,1.000000E-009,0.117,390.149,0
61,61.000000,107.688311,279.287,9.400000E-009,4.700,391.000,0
62,62.000000,109.133655,279.339,1.000000E-009,0.336,403.938,0
63,63.000000,110.579452,279.461,2.336495E-009,1.168,407.661,0
64,64.000000,112.025733,279.526,1.240857E-009,0.620,386.576,0
65,65.000000,113.472317,279.578,1.000000E-009,0.050,388.416,0
66,66.000000,114.919171,279.631,1.000000E-009,0.182,388.065,0
67,67.000000,116.366480,279.754,2.368696E-009,1.184,375.218,0
68,68.000000,117.814263,279.814,1.152242E-009,0.576,378.849,0
69,69.000000,119.263569,280.342,1.020000E-008,5.100,366.000,0
70,70.000000,120.714373,280.394,1.000000E-009,0.203,382.346,0
71,71.000000,122.165444,280.445,1.000000E-009,0.183,374.826,0
72,72.000000,123.619295,281.465,2.000000E-008,,,1
