hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,508.000,2.506789E-009,1.128,439.352,0
1,1.000000,24.127780,507.637,8.666667E-009,3.900,442.000,0
2,2.000000,26.754308,507.516,2.914454E-009,1.312,453.163,0
3,3.000000,29.380124,507.362,3.700071E-009,1.665,446.185,0
4,4.000000,32.005119,507.199,3.946774E-009,1.776,447.596,0
5,5.000000,34.629568,507.151,1.153241E-009,0.519,445.000,0
6,6.000000,37.253550,507.018,3.216272E-009,1.447,448.505,0
7,7.000000,39.876877,506.898,2.922001E-009,1.315,443.275,0
8,8.000000,42.499703,506.824,1.784341E-009,0.803,434.394,0
9,9.000000,45.122129,506.743,1.982442E-009,0.892,433.273,0
10,10.000000,47.743952,506.592,3.696283E-009,1.663,423.223,0
11,11.000000,50.364258,506.157,1.066667E-008,4.800,424.000,0
12,12.000000,52.983249,506.083,1.828790E-009,0.823,415.627,0
13,13.000000,55.601891,506.022,1.508372E-009,0.679,420.562,0
14,14.000000,58.220101,505.916,2.612374E-009,1.176,414.949,0
15,15.000000,60.837891,505.860,1.400938E-009,0.630,404.192,0
16,16.000000,63.455432,505.819,1.000000E-009,0.416,410.757,0
17,17.000000,66.071666,505.356,1.155556E-008,5.200,416.000,0
18,18.000000,68.686410,505.243,2.815930E-009,1.267,397.551,0
19,19.000000,71.300615,505.147,2.416673E-009,1.088,392.892,0
20,20.000000,73.914083,504.959,4.743937E-009,2.135,406.856,0
21,21.000000,76.526621,504.787,4.324594E-009,1.946,395.511,0
22,22.000000,79.138305,504.629,4.013934E-009,1.806,391.487,0
23,23.000000,81.748473,504.201,1.088889E-008,4.900,396.000,0
24,24.000000,84.357227,504.082,3.056649E-009,1.375,416.611,0
25,25.000000,86.965429,503.988,2.418097E-009,1.088,408.179,0
26,26.000000,89.573149,503.896,2.364760E-009,1.064,405.994,0
27,27.000000,92.180531,503.857,1.000000E-009,0.209,404.312,0
28,28.000000,94.787680,503.806,1.322546E-009,0.595,392.017,0
29,29.000000,97.394452,503.712,2.428932E-009,1.093,394.000,0
30,30.000000,100.000739,503.618,2.408099E-009,1.084,390.532,0
31,31.000000,102.606685,503.580,1.000000E-009,0.112,385.148,0
32,32.000000,105.212432,503.541,1.000000E-009,0.211,373.758,0
33,33.000000,107.817979,503.503,1.000000E-009,0.109,364.849,0
34,34.000000,110.423326,503.464,1.000000E-009,0.254,384.806,0
35,35.000000,113.027667,503.114,9.111111E-009,4.100,368.000,0
36,36.000000,115.631005,503.076,1.000000E-009,0.273,391.807,0
37,37.000000,118.234145,503.038,1.000000E-009,0.347,395.464,0
38,38.000000,120.836988,502.961,2.003761E-009,0.902,368.864,0
39,39.000000,123.439381,502.864,2.549342E-009,1.147,357.730,0
40,40.000000,126.041146,502.718,3.827732E-009,1.722,360.345,0
41,41.000000,128.642437,502.680,1.000000E-009,0.283,355.000,0
42,42.000000,131.243530,502.642,1.000000E-009,0.321,358.080,0
43,43.000000,133.844428,502.605,1.000000E-009,0.404,356.358,0
44,44.000000,136.444997,502.515,2.353257E-009,1.059,353.695,0
45,45.000000,139.045113,502.429,2.278495E-009,1.025,352.675,0
46,46.000000,141.644787,502.345,2.230240E-009,1.004,343.629,0
47,47.000000,144.244005,502.252,2.461225E-009,1.108,341.237,0
48,48.000000,146.842736,502.157,2.532942E-009,1.140,335.696,0
49,49.000000,149.440974,502.062,2.532853E-009,1.140,335.565,0
50,50.000000,152.038743,501.976,2.304674E-009,1.037,331.831,0
51,51.000000,154.636149,501.922,1.444643E-009,0.650,361.052,0
52,52.000000,157.233160,501.823,2.639954E-009,1.188,354.043,0
53,53.000000,159.829644,501.718,2.806996E-009,1.263,357.000,0
54,54.000000,162.425573,501.608,2.963886E-009,1.334,344.679,0
55,55.000000,165.020909,501.489,3.200971E-009,1.440,333.868,0
56,56.000000,167.615674,501.388,2.743448E-009,1.235,331.480,0
57,57.000000,170.209006,500.936,1.225793E-008,5.516,369.098,0
58,58.000000,172.799893,500.443,1.351916E-008,6.084,371.693,0
59,59.000000,175.387511,499.674,2.133333E-008,9.600,374.000,0
60,60.000000,177.972050,499.251,1.186644E-008,5.340,431.312,0
61,61.000000,180.552978,498.281,2.763222E-008,12.434,436.032,0
62,62.000000,183.129853,497.683,1.730747E-008,7.788,434.682,0
63,63.000000,185.703020,496.849,2.448162E-008,11.017,435.436,0
64,64.000000,188.271552,495.892,2.862732E-008,12.882,435.260,0
65,65.000000,190.833549,494.329,4.800000E-008,21.600,443.000,0
66,66.000000,193.389921,493.711,1.941848E-008,8.738,448.173,0
67,67.000000,195.944194,493.516,6.180737E-009,2.781,461.723,0
68,68.000000,198.495964,492.746,2.466667E-008,11.100,458.000,0
69,69.000000,201.045666,492.714,1.010263E-009,0.455,492.977,0
70,70.000000,203.594603,492.450,8.562609E-009,3.853,463.845,0
71,71.000000,206.141412,491.893,1.822222E-008,8.200,465.000,0
72,72.000000,208.685216,491.289,2.000000E-008,,,1
