activity_id,launch_time,initial_speed_kms,observed_transit_hours,arrival_time_hours,error_hours,termination_reason,shock_arrived,n_missing_hours,density_coverage,gamma_eff_mean,gamma_eff_final
2026-03-10T04:48:00-CME-001,2026-03-10T04:48:00.0000000Z,550.000,74.300,71.544,-2.756,target_reached,0,1,1.000,9.549722E-009,2.000000E-008
2026-03-13T06:24:00-CME-001,2026-03-13T06:24:00.0000000Z,250.000,181.883,,,timeout,0,1,1.000,1.048251E-008,2.000000E-008
2026-03-13T12:48:00-CME-001,2026-03-13T12:48:00.0000000Z,289.000,156.717,,,timeout,0,1,1.000,6.413784E-009,2.000000E-008
2026-03-16T13:26:00-CME-001,2026-03-16T13:26:00.0000000Z,483.000,84.083,,,timeout,0,1,1.000,5.447443E-009,2.000000E-008
2026-03-16T15:24:00-CME-001,2026-03-16T15:24:00.0000000Z,229.000,206.483,,,timeout,0,1,1.000,5.356767E-009,2.000000E-008
2026-03-17T05:08:00-CME-001,2026-03-17T05:08:00.0000000Z,429.000,68.383,,,timeout,0,1,1.000,6.470154E-009,2.000000E-008
2026-03-17T05:48:00-CME-001,2026-03-17T05:48:00.0000000Z,630.000,67.717,62.066,-5.651,target_reached,0,0,1.000,5.079303E-009,4.751917E-009
2026-03-17T06:38:00-CME-001,2026-03-17T06:38:00.0000000Z,470.000,66.883,,,timeout,0,1,1.000,7.114679E-009,2.000000E-008
2026-03-17T08:23:00-CME-001,2026-03-17T08:23:00.0000000Z,434.000,65.133,,,timeout,0,1,1.000,8.101041E-009,2.000000E-008
2026-03-17T10:53:00-CME-001,2026-03-17T10:53:00.0000000Z,287.000,62.633,,,timeout,0,1,1.000,9.775861E-009,2.000000E-008
2026-03-17T16:53:00-CME-001,2026-03-17T16:53:00.0000000Z,508.000,75.400,,,timeout,0,1,1.000,1.136167E-008,2.000000E-008
2026-03-18T09:23:00-CME-001,2026-03-18T09:23:00.0000000Z,731.000,58.900,55.546,-3.354,target_reached,0,0,1.000,1.356654E-008,3.154913E-008
2026-03-18T19:36:00-CME-001,2026-03-18T19:36:00.0000000Z,276.000,154.283,,,timeout,0,1,1.000,2.553039E-008,2.000000E-008
2026-03-21T08:24:00-CME-001,2026-03-21T08:24:00.0000000Z,491.000,93.483,,,timeout,0,1,1.000,1.055553E-008,2.000000E-008
2026-03-22T16:23:00-CME-001,2026-03-22T16:23:00.0000000Z,655.000,61.500,60.265,-1.235,target_reached,0,0,1.000,4.859507E-009,1.200000E-008
2026-03-22T23:24:00-CME-001,2026-03-22T23:24:00.0000000Z,739.000,54.483,53.877,-0.607,target_reached,0,0,1.000,4.284138E-009,1.200000E-008
