hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,440.000,8.400000E-009,2.100,542.000,0
1,1.000000,23.776736,439.959,7.200000E-009,1.800,545.000,0
2,2.000000,26.053264,439.920,6.800000E-009,1.700,534.000,0
3,3.000000,28.329584,439.878,7.200000E-009,1.800,542.000,0
4,4.000000,30.605703,439.842,6.400000E-009,1.600,523.000,0
5,5.000000,32.881627,439.803,6.800000E-009,1.700,558.000,0
6,6.000000,35.157332,439.757,8.000000E-009,2.000,538.000,0
7,7.000000,37.432802,439.712,8.000000E-009,2.000,527.000,0
8,8.000000,39.708042,439.669,7.600000E-009,1.900,529.000,0
9,9.000000,41.983072,439.630,6.800000E-009,1.700,513.000,0
10,10.000000,44.257902,439.592,6.800000E-009,1.700,514.000,0
11,11.000000,46.532534,439.553,6.800000E-009,1.700,499.000,0
12,12.000000,48.806974,439.517,6.400000E-009,1.600,520.000,0
13,13.000000,51.081227,439.481,6.400000E-009,1.600,506.000,0
14,14.000000,53.355289,439.443,6.800000E-009,1.700,501.000,0
15,15.000000,55.629136,439.399,8.000000E-009,2.000,547.000,0
16,16.000000,57.902746,439.352,8.400000E-009,2.100,539.000,0
17,17.000000,60.176097,439.298,9.600000E-009,2.400,518.000,0
18,18.000000,62.449114,439.223,1.360000E-008,3.400,557.000,0
19,19.000000,64.721747,439.150,1.320000E-008,3.300,556.000,0
20,20.000000,66.993997,439.075,1.360000E-008,3.400,562.000,0
21,21.000000,69.265912,439.020,1.000000E-008,2.500,600.000,0
22,22.000000,71.537554,438.970,9.200000E-009,2.300,585.000,0
23,23.000000,73.808942,438.922,8.800000E-009,2.200,578.000,0
24,24.000000,76.080059,438.865,1.040000E-008,2.600,566.000,0
25,25.000000,78.350883,438.809,1.040000E-008,2.600,558.000,0
26,26.000000,80.621432,438.759,9.200000E-009,2.300,570.000,0
27,27.000000,82.891740,438.716,8.000000E-009,2.000,553.000,0
28,28.000000,85.161820,438.670,8.400000E-009,2.100,564.000,0
29,29.000000,87.431660,438.623,8.800000E-009,2.200,587.000,0
30,30.000000,89.701277,438.584,7.200000E-009,1.800,565.000,0
31,31.000000,91.970673,438.537,8.800000E-009,2.200,576.000,0
32,32.000000,94.239798,438.480,1.080000E-008,2.700,553.000,0
33,33.000000,96.508680,438.443,6.800000E-009,1.700,518.000,0
34,34.000000,98.777358,438.401,8.000000E-009,2.000,528.000,0
35,35.000000,101.045778,438.344,1.080000E-008,2.700,528.000,0
36,36.000000,103.313951,438.305,7.200000E-009,1.800,558.000,0
37,37.000000,105.581950,438.276,5.600000E-009,1.400,556.000,0
38,38.000000,107.849806,438.251,4.800000E-009,1.200,568.000,0
39,39.000000,110.117543,438.230,4.000000E-009,1.000,572.000,0
40,40.000000,112.385171,438.209,4.000000E-009,1.000,571.000,0
41,41.000000,114.652690,438.188,4.000000E-009,1.000,553.000,0
42,42.000000,116.920100,438.167,4.000000E-009,1.000,544.000,0
43,43.000000,119.187396,438.143,4.400000E-009,1.100,539.000,0
44,44.000000,121.454573,438.120,4.400000E-009,1.100,527.000,0
45,45.000000,123.721647,438.104,3.200000E-009,0.800,536.000,0
46,46.000000,125.988640,438.089,2.800000E-009,0.700,483.000,0
47,47.000000,128.255536,438.066,4.400000E-009,1.100,499.000,0
48,48.000000,130.522318,438.045,4.000000E-009,1.000,491.000,0
49,49.000000,132.789004,438.029,3.200000E-009,0.800,496.000,0
50,50.000000,135.055597,438.010,3.600000E-009,0.900,501.000,0
51,51.000000,137.322100,437.993,3.200000E-009,0.800,495.000,0
52,52.000000,139.588521,437.979,2.800000E-009,0.700,494.000,0
53,53.000000,141.854867,437.964,2.800000E-009,0.700,496.000,0
54,54.000000,144.121138,437.950,2.800000E-009,0.700,488.000,0
55,55.000000,146.387329,437.933,3.200000E-009,0.800,505.000,0
56,56.000000,148.653439,437.919,2.800000E-009,0.700,498.000,0
57,57.000000,150.919474,437.904,2.800000E-009,0.700,490.000,0
58,58.000000,153.185429,437.888,3.200000E-009,0.800,496.000,0
59,59.000000,155.451299,437.871,3.200000E-009,0.800,475.000,0
60,60.000000,157.717072,437.850,4.000000E-009,1.000,483.000,0
61,61.000000,159.982712,437.819,6.000000E-009,1.500,527.000,0
62,62.000000,162.248181,437.784,6.800000E-009,1.700,512.000,0
63,63.000000,164.513464,437.747,7.200000E-009,1.800,525.000,0
64,64.000000,166.778545,437.706,8.000000E-009,2.000,504.000,0
65,65.000000,169.043399,437.659,9.200000E-009,2.300,507.000,0
66,66.000000,171.307993,437.606,1.040000E-008,2.600,518.000,0
67,67.000000,173.572309,437.552,1.080000E-008,2.700,524.000,0
68,68.000000,175.836383,437.513,7.600000E-009,1.900,527.000,0
69,69.000000,178.100262,437.477,7.200000E-009,1.800,530.000,0
70,70.000000,180.363980,437.450,5.200000E-009,1.300,505.000,0
71,71.000000,182.627561,437.424,5.200000E-009,1.300,507.000,0
72,72.000000,184.890815,437.323,2.000000E-008,,,1
