hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,229.000,1.000000E-009,0.163,519.957,0
1,1.000000,22.685266,229.105,1.000000E-009,0.441,530.356,0
2,2.000000,23.871076,229.210,1.000000E-009,0.458,512.251,0
3,3.000000,25.057453,229.324,1.087238E-009,0.815,509.706,0
4,4.000000,26.244461,229.454,1.241178E-009,0.931,512.420,0
5,5.000000,27.432960,229.900,4.266667E-009,3.200,513.000,0
6,6.000000,28.622880,230.004,1.000000E-009,0.196,496.000,0
7,7.000000,29.813339,230.108,1.000000E-009,0.585,503.307,0
8,8.000000,31.005247,230.564,4.400000E-009,3.300,502.000,0
9,9.000000,32.198601,230.667,1.000000E-009,0.219,484.530,0
10,10.000000,33.392490,230.771,1.000000E-009,0.679,497.340,0
11,11.000000,34.587710,231.182,4.000000E-009,3.000,503.000,0
12,12.000000,35.785090,231.605,4.133333E-009,3.100,497.000,0
13,13.000000,36.983827,231.707,1.000000E-009,0.496,496.448,0
14,14.000000,38.183092,231.809,1.000000E-009,0.672,488.943,0
15,15.000000,39.382883,231.911,1.000000E-009,0.314,495.489,0
16,16.000000,40.583201,232.012,1.000000E-009,0.490,479.396,0
17,17.000000,41.784045,232.114,1.000000E-009,0.517,473.713,0
18,18.000000,42.986339,232.573,4.533333E-009,3.400,474.000,0
19,19.000000,44.190080,232.673,1.000000E-009,0.432,462.468,0
20,20.000000,45.394364,232.782,1.082752E-009,0.812,470.693,0
21,21.000000,46.599902,233.157,3.733333E-009,2.800,466.000,0
22,22.000000,47.806725,233.280,1.219956E-009,0.915,450.767,0
23,23.000000,49.014122,233.380,1.000000E-009,0.546,440.632,0
24,24.000000,50.222037,233.479,1.000000E-009,0.681,440.741,0
25,25.000000,51.430598,233.629,1.504073E-009,1.128,439.352,0
26,26.000000,52.640886,234.146,5.200000E-009,3.900,442.000,0
27,27.000000,53.852956,234.319,1.748673E-009,1.312,453.163,0
28,28.000000,55.066040,234.538,2.220043E-009,1.665,446.185,0
29,29.000000,56.280295,234.771,2.368064E-009,1.776,447.596,0
30,30.000000,57.495406,234.869,1.000000E-009,0.519,445.000,0
31,31.000000,58.711261,235.059,1.929763E-009,1.447,448.505,0
32,32.000000,59.928050,235.230,1.753200E-009,1.315,443.275,0
33,33.000000,61.145553,235.335,1.070605E-009,0.803,434.394,0
34,34.000000,62.363627,235.451,1.189465E-009,0.892,433.273,0
35,35.000000,63.582559,235.667,2.217770E-009,1.663,423.223,0
36,36.000000,64.803656,236.286,6.400000E-009,4.800,424.000,0
37,37.000000,66.026628,236.392,1.097274E-009,0.823,415.627,0
38,38.000000,67.250123,236.489,1.000000E-009,0.679,420.562,0
39,39.000000,68.474258,236.639,1.567424E-009,1.176,414.949,0
40,40.000000,69.699031,236.735,1.000000E-009,0.630,404.192,0
41,41.000000,70.924300,236.831,1.000000E-009,0.416,410.757,0
42,42.000000,72.151532,237.493,6.933333E-009,5.200,416.000,0
43,43.000000,73.380890,237.654,1.689558E-009,1.267,397.551,0
44,44.000000,74.611018,237.791,1.450004E-009,1.088,392.892,0
45,45.000000,75.842199,238.060,2.846362E-009,2.135,406.856,0
46,46.000000,77.074709,238.305,2.594756E-009,1.946,395.511,0
47,47.000000,78.308437,238.531,2.408361E-009,1.806,391.487,0
48,48.000000,79.544333,239.142,6.533333E-009,4.900,396.000,0
49,49.000000,80.782250,239.313,1.833989E-009,1.375,416.611,0
50,50.000000,82.020957,239.447,1.450858E-009,1.088,408.179,0
51,51.000000,83.260353,239.579,1.418856E-009,1.064,405.994,0
52,52.000000,84.500328,239.672,1.000000E-009,0.209,404.312,0
53,53.000000,85.740783,239.764,1.000000E-009,0.595,392.017,0
54,54.000000,86.981825,239.899,1.457359E-009,1.093,394.000,0
55,55.000000,88.223560,240.032,1.444859E-009,1.084,390.532,0
56,56.000000,89.465878,240.124,1.000000E-009,0.112,385.148,0
57,57.000000,90.708672,240.216,1.000000E-009,0.211,373.758,0
58,58.000000,91.951942,240.308,1.000000E-009,0.109,364.849,0
59,59.000000,93.195687,240.400,1.000000E-009,0.254,384.806,0
60,60.000000,94.440963,240.899,5.466667E-009,4.100,368.000,0
61,61.000000,95.687767,240.990,1.000000E-009,0.273,391.807,0
62,62.000000,96.935041,241.081,1.000000E-009,0.347,395.464,0
63,63.000000,98.182834,241.191,1.202256E-009,0.902,368.864,0
64,64.000000,99.431268,241.329,1.529605E-009,1.147,357.730,0
65,65.000000,100.680600,241.537,2.296639E-009,1.722,360.345,0
66,66.000000,101.930703,241.628,1.000000E-009,0.283,355.000,0
67,67.000000,103.181273,241.718,1.000000E-009,0.321,358.080,0
68,68.000000,104.432309,241.808,1.000000E-009,0.404,356.358,0
69,69.000000,105.683908,241.935,1.411954E-009,1.059,353.695,0
70,70.000000,106.936154,242.058,1.367097E-009,1.025,352.675,0
71,71.000000,108.189028,242.178,1.338144E-009,1.004,343.629,0
72,72.000000,109.446818,243.951,2.000000E-008,,,1
