hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,287.000,1.000000E-009,0.432,462.468,0
1,1.000000,22.985252,287.050,1.082752E-009,0.812,470.693,0
2,2.000000,24.471075,287.221,3.733333E-009,2.800,466.000,0
3,3.000000,25.957486,287.277,1.219956E-009,0.915,450.767,0
4,4.000000,27.444159,287.323,1.000000E-009,0.546,440.632,0
5,5.000000,28.931069,287.368,1.000000E-009,0.681,440.741,0
6,6.000000,30.418275,287.437,1.504073E-009,1.128,439.352,0
7,7.000000,31.906272,287.674,5.200000E-009,3.900,442.000,0
8,8.000000,33.395085,287.753,1.748673E-009,1.312,453.163,0
9,9.000000,34.884364,287.854,2.220043E-009,1.665,446.185,0
10,10.000000,36.374181,287.961,2.368064E-009,1.776,447.596,0
11,11.000000,37.864392,288.006,1.000000E-009,0.519,445.000,0
12,12.000000,39.354945,288.093,1.929763E-009,1.447,448.505,0
13,13.000000,40.845927,288.172,1.753200E-009,1.315,443.275,0
14,14.000000,42.337239,288.220,1.070605E-009,0.803,434.394,0
15,15.000000,43.828814,288.274,1.189465E-009,0.892,433.273,0
16,16.000000,45.320784,288.373,2.217770E-009,1.663,423.223,0
17,17.000000,46.813754,288.659,6.400000E-009,4.800,424.000,0
18,18.000000,48.307590,288.708,1.097274E-009,0.823,415.627,0
19,19.000000,49.801669,288.753,1.000000E-009,0.679,420.562,0
20,20.000000,51.296043,288.823,1.567424E-009,1.176,414.949,0
21,21.000000,52.790713,288.867,1.000000E-009,0.630,404.192,0
22,22.000000,54.285614,288.912,1.000000E-009,0.416,410.757,0
23,23.000000,55.781424,289.219,6.933333E-009,5.200,416.000,0
24,24.000000,57.278222,289.293,1.689558E-009,1.267,397.551,0
25,25.000000,58.775378,289.357,1.450004E-009,1.088,392.892,0
26,26.000000,60.273024,289.483,2.846362E-009,2.135,406.856,0
27,27.000000,61.771289,289.597,2.594756E-009,1.946,395.511,0
28,28.000000,63.270122,289.702,2.408361E-009,1.806,391.487,0
29,29.000000,64.769967,289.988,6.533333E-009,4.900,396.000,0
30,30.000000,66.270756,290.067,1.833989E-009,1.375,416.611,0
31,31.000000,67.771915,290.131,1.450858E-009,1.088,408.179,0
32,32.000000,69.273397,290.192,1.418856E-009,1.064,405.994,0
33,33.000000,70.775151,290.236,1.000000E-009,0.209,404.312,0
34,34.000000,72.277129,290.279,1.000000E-009,0.595,392.017,0
35,35.000000,73.779383,290.342,1.457359E-009,1.093,394.000,0
36,36.000000,75.281961,290.405,1.444859E-009,1.084,390.532,0
37,37.000000,76.784813,290.448,1.000000E-009,0.112,385.148,0
38,38.000000,78.287889,290.491,1.000000E-009,0.211,373.758,0
39,39.000000,79.791188,290.534,1.000000E-009,0.109,364.849,0
40,40.000000,81.294711,290.577,1.000000E-009,0.254,384.806,0
41,41.000000,82.798953,290.812,5.466667E-009,4.100,368.000,0
42,42.000000,84.303915,290.855,1.000000E-009,0.273,391.807,0
43,43.000000,85.809099,290.898,1.000000E-009,0.347,395.464,0
44,44.000000,87.314526,290.950,1.202256E-009,0.902,368.864,0
45,45.000000,88.820257,291.015,1.529605E-009,1.147,357.730,0
46,46.000000,90.326410,291.113,2.296639E-009,1.722,360.345,0
47,47.000000,91.832928,291.156,1.000000E-009,0.283,355.000,0
48,48.000000,93.339666,291.199,1.000000E-009,0.321,358.080,0
49,49.000000,94.846625,291.241,1.000000E-009,0.404,356.358,0
50,50.000000,96.353850,291.301,1.411954E-009,1.059,353.695,0
51,51.000000,97.861380,291.359,1.367097E-009,1.025,352.675,0
52,52.000000,99.369208,291.416,1.338144E-009,1.004,343.629,0
53,53.000000,100.877345,291.479,1.476735E-009,1.108,341.237,0
54,54.000000,102.385811,291.543,1.519765E-009,1.140,335.696,0
55,55.000000,103.894610,291.608,1.519712E-009,1.140,335.565,0
56,56.000000,105.403726,291.666,1.382804E-009,1.037,331.831,0
57,57.000000,106.913103,291.708,1.000000E-009,0.650,361.052,0
58,58.000000,108.422762,291.775,1.583972E-009,1.188,354.043,0
59,59.000000,109.932778,291.846,1.684197E-009,1.263,357.000,0
60,60.000000,111.443170,291.921,1.778332E-009,1.334,344.679,0
61,61.000000,112.953966,292.002,1.920583E-009,1.440,333.868,0
62,62.000000,114.465148,292.071,1.646069E-009,1.235,331.480,0
63,63.000000,115.977306,292.378,7.354759E-009,5.516,369.098,0
64,64.000000,117.491133,292.715,8.111494E-009,6.084,371.693,0
65,65.000000,119.007198,293.243,1.280000E-008,9.600,374.000,0
66,66.000000,120.525381,293.534,7.119865E-009,5.340,431.312,0
67,67.000000,122.046060,294.207,1.657933E-008,12.434,436.032,0
68,68.000000,123.569555,294.623,1.038448E-008,7.788,434.682,0
69,69.000000,125.095640,295.207,1.468897E-008,11.017,435.436,0
70,70.000000,126.624982,295.882,1.717639E-008,12.882,435.260,0
71,71.000000,128.158954,296.994,2.880000E-008,21.600,443.000,0
72,72.000000,129.697759,297.752,2.000000E-008,,,1
