hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,491.000,1.035271E-008,7.765,474.109,0
1,1.000000,24.040011,490.715,9.601839E-009,7.201,486.000,0
2,2.000000,26.578539,490.426,9.758079E-009,7.319,471.555,0
3,3.000000,29.115790,490.221,6.986815E-009,5.240,483.929,0
4,4.000000,31.651543,489.848,1.280000E-008,9.600,489.000,0
5,5.000000,34.185909,489.685,5.619354E-009,4.215,514.693,0
6,6.000000,36.719628,489.598,3.009790E-009,2.257,483.596,0
7,7.000000,39.252970,489.539,2.028226E-009,1.521,501.756,0
8,8.000000,41.785924,489.448,3.165558E-009,2.374,501.719,0
9,9.000000,44.318568,489.419,1.000000E-009,0.087,486.787,0
10,10.000000,46.850652,489.231,6.533333E-009,4.900,495.000,0
11,11.000000,49.382090,489.169,2.162573E-009,1.622,492.771,0
12,12.000000,51.913164,489.091,2.740287E-009,2.055,515.465,0
13,13.000000,54.443486,488.878,7.466667E-009,5.600,507.000,0
14,14.000000,56.973130,488.829,1.722096E-009,1.292,500.769,0
15,15.000000,59.502498,488.772,2.026392E-009,1.520,504.175,0
16,16.000000,62.031396,488.647,4.400000E-009,3.300,499.000,0
17,17.000000,64.559743,488.559,3.103945E-009,2.328,528.846,0
18,18.000000,67.087582,488.450,3.873138E-009,2.905,538.051,0
19,19.000000,69.614759,488.304,5.200000E-009,3.900,544.000,0
20,20.000000,72.141262,488.189,4.081836E-009,3.061,579.142,0
21,21.000000,74.667104,488.049,5.040325E-009,3.780,543.982,0
22,22.000000,77.192018,487.831,7.825753E-009,5.869,549.828,0
23,23.000000,79.715597,487.533,1.074966E-008,8.062,559.220,0
24,24.000000,82.238037,487.390,5.208211E-009,3.906,574.983,0
25,25.000000,84.759670,487.221,6.133333E-009,4.600,588.000,0
26,26.000000,87.280424,487.050,6.266667E-009,4.700,621.000,0
27,27.000000,89.800519,486.966,3.078328E-009,2.309,611.081,0
28,28.000000,92.320140,486.868,3.632518E-009,2.724,614.789,0
29,29.000000,94.839048,486.690,6.533333E-009,4.900,610.000,0
30,30.000000,97.356967,486.485,7.600000E-009,5.700,597.000,0
31,31.000000,99.873845,486.288,7.333333E-009,5.500,587.000,0
32,32.000000,102.390014,486.211,2.879202E-009,2.159,592.951,0
33,33.000000,104.905712,486.106,3.919785E-009,2.940,596.161,0
34,34.000000,107.420950,486.033,2.748366E-009,2.061,593.261,0
35,35.000000,109.935800,485.957,2.873436E-009,2.155,618.783,0
36,36.000000,112.450272,485.887,2.637267E-009,1.978,663.837,0
37,37.000000,114.964259,485.770,4.400000E-009,3.300,649.000,0
38,38.000000,117.477779,485.706,2.429211E-009,1.822,666.757,0
39,39.000000,119.990932,485.628,2.923687E-009,2.193,675.392,0
40,40.000000,122.503712,485.561,2.544211E-009,1.908,661.319,0
41,41.000000,125.016150,485.496,2.480036E-009,1.860,664.961,0
42,42.000000,127.528259,485.434,2.336279E-009,1.752,660.097,0
43,43.000000,130.040010,485.357,2.933333E-009,2.200,667.000,0
44,44.000000,132.551409,485.298,2.260141E-009,1.695,670.735,0
45,45.000000,135.062533,485.251,1.793323E-009,1.345,666.931,0
46,46.000000,137.573396,485.197,2.071199E-009,1.553,681.704,0
47,47.000000,140.084002,485.152,1.718831E-009,1.289,675.867,0
48,48.000000,142.594321,485.086,2.533333E-009,1.900,681.000,0
49,49.000000,145.104348,485.040,1.788890E-009,1.342,676.000,0
50,50.000000,147.614110,484.984,2.153126E-009,1.615,676.992,0
51,51.000000,150.123603,484.936,1.843763E-009,1.383,640.205,0
52,52.000000,152.632827,484.879,2.163388E-009,1.623,639.727,0
53,53.000000,155.141771,484.827,2.016939E-009,1.513,642.542,0
54,54.000000,157.650451,484.778,1.899921E-009,1.425,619.987,0
55,55.000000,160.158853,484.719,2.266667E-009,1.700,620.000,0
56,56.000000,162.667037,484.694,1.000000E-009,0.038,655.514,0
57,57.000000,165.175087,484.668,1.000000E-009,0.331,643.750,0
58,58.000000,167.683003,484.642,1.000000E-009,0.046,642.019,0
59,59.000000,170.190639,484.559,3.200000E-009,2.400,650.000,0
60,60.000000,172.697996,484.534,1.000000E-009,0.044,635.875,0
61,61.000000,175.205219,484.508,1.000000E-009,0.017,636.000,0
62,62.000000,177.712309,484.482,1.000000E-009,0.269,634.452,0
63,63.000000,180.219266,484.457,1.000000E-009,0.125,618.679,0
64,64.000000,182.726090,484.431,1.000000E-009,0.148,624.834,0
65,65.000000,185.232782,484.405,1.000000E-009,0.409,633.538,0
66,66.000000,187.739341,484.380,1.000000E-009,0.090,620.604,0
67,67.000000,190.245639,484.305,2.933333E-009,2.200,613.000,0
68,68.000000,192.751540,484.226,3.066667E-009,2.300,607.000,0
69,69.000000,195.257172,484.201,1.000000E-009,0.493,599.801,0
70,70.000000,197.762672,484.175,1.000000E-009,0.083,601.327,0
71,71.000000,200.268040,484.150,1.000000E-009,0.040,584.580,0
72,72.000000,202.772028,483.643,2.000000E-008,,,1
