hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,397.000,1.579131E-009,1.184,375.218,0
1,1.000000,23.554334,397.000,1.000000E-009,0.576,378.849,0
2,2.000000,25.608668,397.000,6.800000E-009,5.100,366.000,0
3,3.000000,27.663004,397.000,1.000000E-009,0.203,382.346,0
4,4.000000,29.717339,397.000,1.000000E-009,0.183,374.826,0
5,5.000000,31.771674,397.000,1.000000E-009,0.167,383.454,0
6,6.000000,33.826010,397.000,1.000000E-009,0.207,383.018,0
7,7.000000,35.880346,397.000,1.000000E-009,0.351,376.508,0
8,8.000000,37.934682,397.001,6.666667E-009,5.000,389.000,0
9,9.000000,39.989020,397.001,6.933333E-009,5.200,385.000,0
10,10.000000,42.043358,397.001,1.000000E-009,0.510,388.792,0
11,11.000000,44.097697,397.001,7.200000E-009,5.400,370.000,0
12,12.000000,46.152037,397.001,1.077316E-009,0.808,368.784,0
13,13.000000,48.206377,397.001,1.928937E-009,1.447,352.611,0
14,14.000000,50.260717,397.001,1.005824E-009,0.754,350.999,0
15,15.000000,52.315057,397.001,1.000000E-009,0.604,348.789,0
16,16.000000,54.369398,397.002,7.466667E-009,5.600,355.000,0
17,17.000000,56.423740,397.002,1.000000E-009,0.330,372.437,0
18,18.000000,58.478082,397.002,1.000000E-009,0.434,368.426,0
19,19.000000,60.532424,397.002,1.000000E-009,0.354,365.097,0
20,20.000000,62.586766,397.002,1.000000E-009,0.281,364.342,0
21,21.000000,64.641109,397.002,3.253656E-009,2.440,356.176,0
22,22.000000,66.695452,397.002,1.027155E-009,0.770,352.282,0
23,23.000000,68.749795,397.002,3.262132E-009,2.447,354.459,0
24,24.000000,70.804139,397.002,4.028335E-009,3.021,346.242,0
25,25.000000,72.858484,397.002,4.222672E-009,3.167,358.690,0
26,26.000000,74.912829,397.002,1.022027E-008,7.665,359.901,0
27,27.000000,76.967176,397.003,1.894589E-009,1.421,338.151,0
28,28.000000,79.021523,397.003,1.743369E-009,1.308,341.983,0
29,29.000000,81.075871,397.003,1.090971E-009,0.818,340.600,0
30,30.000000,83.130218,397.003,3.124048E-009,2.343,338.909,0
31,31.000000,85.184567,397.003,1.393864E-009,1.045,350.534,0
32,32.000000,87.238915,397.003,1.000000E-009,0.730,347.406,0
33,33.000000,89.293264,397.003,1.293809E-008,9.704,360.070,0
34,34.000000,91.347615,397.003,1.000000E-009,0.542,379.239,0
35,35.000000,93.401966,397.003,3.107444E-009,2.331,368.324,0
36,36.000000,95.456319,397.004,1.578261E-008,11.837,366.411,0
37,37.000000,97.510673,397.004,3.783458E-009,2.838,392.781,0
38,38.000000,99.565029,397.005,1.578601E-008,11.840,400.385,0
39,39.000000,101.619387,397.005,1.423425E-008,10.676,397.149,0
40,40.000000,103.673747,397.005,1.000000E-009,0.729,414.472,0
41,41.000000,105.728108,397.006,1.572187E-008,11.791,433.808,0
42,42.000000,107.782471,397.006,1.520576E-008,11.404,412.010,0
43,43.000000,109.836836,397.006,1.000000E-009,0.512,419.316,0
44,44.000000,111.891202,397.007,1.440369E-008,10.803,411.479,0
45,45.000000,113.945570,397.007,1.000000E-009,0.591,432.752,0
46,46.000000,115.999938,397.007,1.000000E-009,0.478,445.707,0
47,47.000000,118.054306,397.007,1.136277E-008,8.522,431.558,0
48,48.000000,120.108676,397.007,1.388699E-009,1.042,451.076,0
49,49.000000,122.163046,397.007,3.492360E-009,2.619,455.691,0
50,50.000000,124.217418,397.007,1.102164E-008,8.266,458.763,0
51,51.000000,126.271790,397.008,3.834746E-009,2.876,470.484,0
52,52.000000,128.326163,397.008,2.003748E-009,1.503,491.594,0
53,53.000000,130.380537,397.008,2.600562E-009,1.950,454.762,0
54,54.000000,132.434912,397.008,9.716907E-009,7.288,449.872,0
55,55.000000,134.489287,397.008,5.065851E-009,3.799,463.861,0
56,56.000000,136.543664,397.008,5.257427E-009,3.943,450.910,0
57,57.000000,138.598042,397.009,9.714511E-009,7.286,444.715,0
58,58.000000,140.652421,397.009,3.570231E-009,2.678,447.715,0
59,59.000000,142.706800,397.009,3.677941E-009,2.758,457.135,0
60,60.000000,144.761181,397.009,8.853115E-009,6.640,437.881,0
61,61.000000,146.815563,397.009,3.473216E-009,2.605,436.405,0
62,62.000000,148.869945,397.010,8.318246E-009,6.239,457.464,0
63,63.000000,150.924329,397.010,7.162302E-009,5.372,456.435,0
64,64.000000,152.978714,397.010,2.168021E-009,1.626,445.978,0
65,65.000000,155.033099,397.010,5.965364E-009,4.474,452.416,0
66,66.000000,157.087486,397.010,7.046047E-009,5.285,424.817,0
67,67.000000,159.141873,397.010,2.382671E-009,1.787,444.622,0
68,68.000000,161.196261,397.011,5.439147E-009,4.079,437.349,0
69,69.000000,163.250650,397.011,1.370840E-009,1.028,453.235,0
70,70.000000,165.305038,397.011,2.081486E-009,1.561,454.640,0
71,71.000000,167.359427,397.011,1.401096E-009,1.051,451.666,0
72,72.000000,169.413818,397.011,2.000000E-008,,,1
