hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,434.000,1.333333E-008,4.000,610.000,0
1,1.000000,23.745652,433.945,1.333333E-008,4.000,595.000,0
2,2.000000,25.991022,433.891,1.300000E-008,3.900,583.000,0
3,3.000000,28.236124,433.841,1.200000E-008,3.600,577.000,0
4,4.000000,30.480988,433.799,1.033333E-008,3.100,567.000,0
5,5.000000,32.725653,433.764,8.333333E-009,2.500,579.000,0
6,6.000000,34.970130,433.726,9.333333E-009,2.800,599.000,0
7,7.000000,37.214410,433.688,9.333333E-009,2.800,604.000,0
8,8.000000,39.458486,433.647,1.000000E-008,3.000,623.000,0
9,9.000000,41.702354,433.608,9.666667E-009,2.900,637.000,0
10,10.000000,43.946015,433.567,1.000000E-008,3.000,644.000,0
11,11.000000,46.189431,433.513,1.333333E-008,4.000,653.000,0
12,12.000000,48.432558,433.455,1.433333E-008,4.300,658.000,0
13,13.000000,50.675376,433.394,1.533333E-008,4.600,669.000,0
14,14.000000,52.917854,433.324,1.733333E-008,5.200,659.000,0
15,15.000000,55.160012,433.270,1.366667E-008,4.100,672.000,0
16,16.000000,57.401902,433.221,1.233333E-008,3.700,659.000,0
17,17.000000,59.643555,433.178,1.066667E-008,3.200,658.000,0
18,18.000000,61.884979,433.132,1.166667E-008,3.500,647.000,0
19,19.000000,64.126161,433.085,1.200000E-008,3.600,637.000,0
20,20.000000,66.367116,433.044,1.033333E-008,3.100,654.000,0
21,21.000000,68.607877,433.010,8.666667E-009,2.600,677.000,0
22,22.000000,70.848459,432.975,9.000000E-009,2.700,648.000,0
23,23.000000,73.088869,432.944,8.000000E-009,2.400,642.000,0
24,24.000000,75.329123,432.915,7.333333E-009,2.200,645.000,0
25,25.000000,77.569240,432.890,6.333333E-009,1.900,620.000,0
26,26.000000,79.809226,432.864,6.666667E-009,2.000,615.000,0
27,27.000000,82.049071,432.836,7.333333E-009,2.200,599.000,0
28,28.000000,84.288755,432.802,8.666667E-009,2.600,585.000,0
29,29.000000,86.528266,432.769,8.666667E-009,2.600,572.000,0
30,30.000000,88.767610,432.738,8.000000E-009,2.400,566.000,0
31,31.000000,91.006794,432.707,8.000000E-009,2.400,560.000,0
32,32.000000,93.245815,432.675,8.333333E-009,2.500,582.000,0
33,33.000000,95.484671,432.643,8.333333E-009,2.500,567.000,0
34,34.000000,97.723345,432.605,1.000000E-008,3.000,566.000,0
35,35.000000,99.961820,432.566,1.000000E-008,3.000,571.000,0
36,36.000000,102.200108,432.532,9.000000E-009,2.700,571.000,0
37,37.000000,104.438212,432.495,9.666667E-009,2.900,564.000,0
38,38.000000,106.676126,432.459,9.666667E-009,2.900,574.000,0
39,39.000000,108.913821,432.411,1.266667E-008,3.800,549.000,0
40,40.000000,111.151274,432.365,1.200000E-008,3.600,538.000,0
41,41.000000,113.388507,432.325,1.066667E-008,3.200,532.000,0
42,42.000000,115.625538,432.287,1.000000E-008,3.000,542.000,0
43,43.000000,117.862368,432.247,1.066667E-008,3.200,540.000,0
44,44.000000,120.098982,432.204,1.166667E-008,3.500,546.000,0
45,45.000000,122.335355,432.154,1.333333E-008,4.000,538.000,0
46,46.000000,124.571487,432.111,1.166667E-008,3.500,541.000,0
47,47.000000,126.807398,432.069,1.133333E-008,3.400,544.000,0
48,48.000000,129.043091,432.027,1.133333E-008,3.400,539.000,0
49,49.000000,131.278556,431.980,1.266667E-008,3.800,536.000,0
50,50.000000,133.513770,431.930,1.366667E-008,4.100,525.000,0
51,51.000000,135.748749,431.890,1.100000E-008,3.300,521.000,0
52,52.000000,137.983511,431.846,1.200000E-008,3.600,515.000,0
53,53.000000,140.218030,431.796,1.366667E-008,4.100,517.000,0
54,54.000000,142.452295,431.747,1.333333E-008,4.000,525.000,0
55,55.000000,144.686309,431.699,1.333333E-008,4.000,514.000,0
56,56.000000,146.920065,431.647,1.433333E-008,4.300,498.000,0
57,57.000000,149.153547,431.593,1.500000E-008,4.500,496.000,0
58,58.000000,151.386756,431.542,1.433333E-008,4.300,506.000,0
59,59.000000,153.619647,431.471,2.000000E-008,,,1
60,60.000000,155.852222,431.420,1.433333E-008,4.300,475.000,0
61,61.000000,158.084520,431.364,1.566667E-008,4.700,475.000,0
62,62.000000,160.316510,431.300,1.800000E-008,5.400,459.000,0
63,63.000000,162.548205,431.250,1.433333E-008,4.300,469.000,0
64,64.000000,164.779616,431.190,1.700000E-008,5.100,461.000,0
65,65.000000,167.010696,431.123,1.933333E-008,5.800,458.000,0
66,66.000000,169.241452,431.065,1.666667E-008,5.000,462.000,0
67,67.000000,171.471897,431.002,1.800000E-008,5.400,464.000,0
68,68.000000,173.702004,430.934,1.966667E-008,5.900,472.000,0
69,69.000000,175.931770,430.870,1.866667E-008,5.600,478.000,0
70,70.000000,178.161210,430.809,1.800000E-008,5.400,470.000,0
71,71.000000,180.390323,430.744,1.900000E-008,5.700,456.000,0
72,72.000000,182.619093,430.676,2.000000E-008,,,1
