hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,289.000,1.000000E-009,0.256,513.908,0
1,1.000000,22.995633,289.062,1.404184E-009,0.421,554.725,0
2,2.000000,24.491707,289.170,2.441383E-009,0.732,574.572,0
3,3.000000,25.991053,290.323,2.633333E-008,7.900,564.000,0
4,4.000000,27.493650,290.431,2.508904E-009,0.753,582.060,0
5,5.000000,28.996824,290.545,2.645357E-009,0.794,595.536,0
6,6.000000,30.500635,290.678,3.073286E-009,0.922,625.099,0
7,7.000000,32.005141,290.814,3.160624E-009,0.948,643.471,0
8,8.000000,33.510147,290.871,1.337044E-009,0.401,658.732,0
9,9.000000,35.017471,291.708,1.966667E-008,5.900,658.000,0
10,10.000000,36.527073,291.754,1.093101E-009,0.328,670.544,0
11,11.000000,38.039183,292.674,2.200000E-008,6.600,653.000,0
12,12.000000,39.553807,292.728,1.312160E-009,0.394,654.109,0
13,13.000000,41.068722,292.786,1.401336E-009,0.420,647.765,0
14,14.000000,42.583947,292.848,1.499647E-009,0.450,648.606,0
15,15.000000,44.101955,293.858,2.466667E-008,7.400,652.000,0
16,16.000000,45.624724,294.690,2.066667E-008,6.200,594.000,0
17,17.000000,47.150185,294.901,5.288759E-009,1.587,666.323,0
18,18.000000,48.676862,295.160,6.534783E-009,1.960,661.942,0
19,19.000000,50.204367,295.221,1.538098E-009,0.461,656.105,0
20,20.000000,51.734468,296.161,2.400000E-008,7.200,683.000,0
21,21.000000,53.268761,296.842,1.766667E-008,5.300,681.000,0
22,22.000000,54.804946,296.893,1.343500E-009,0.403,697.463,0
23,23.000000,56.341433,296.959,1.702876E-009,0.511,674.947,0
24,24.000000,57.879533,297.516,1.466667E-008,4.400,679.000,0
25,25.000000,59.419171,297.554,1.000000E-009,0.245,682.524,0
26,26.000000,60.959072,297.618,1.692746E-009,0.508,677.636,0
27,27.000000,62.500663,298.206,1.566667E-008,4.700,658.000,0
28,28.000000,64.043873,298.245,1.056818E-009,0.317,672.283,0
29,29.000000,65.587401,298.329,2.244322E-009,0.673,667.265,0
30,30.000000,67.131242,298.366,1.000000E-009,0.207,660.675,0
31,31.000000,68.676522,298.884,1.400000E-008,4.200,667.000,0
32,32.000000,70.224405,299.372,1.333333E-008,4.000,672.000,0
33,33.000000,71.773664,299.417,1.216991E-009,0.365,658.000,0
34,34.000000,73.323133,299.453,1.000000E-009,0.098,668.522,0
35,35.000000,74.872789,299.489,1.000000E-009,0.094,681.119,0
36,36.000000,76.422634,299.526,1.000000E-009,0.137,669.652,0
37,37.000000,77.972667,299.562,1.000000E-009,0.229,659.683,0
38,38.000000,79.522888,299.598,1.000000E-009,0.213,666.396,0
39,39.000000,81.074077,299.936,9.333333E-009,2.800,666.000,0
40,40.000000,82.626232,299.972,1.000000E-009,0.130,660.969,0
41,41.000000,84.178573,300.008,1.000000E-009,0.234,655.090,0
42,42.000000,85.731101,300.044,1.000000E-009,0.190,654.370,0
43,43.000000,87.283815,300.080,1.000000E-009,0.257,654.405,0
44,44.000000,88.836714,300.116,1.000000E-009,0.202,645.767,0
45,45.000000,90.390572,300.450,9.333333E-009,2.800,657.000,0
46,46.000000,91.945386,300.486,1.000000E-009,0.123,668.273,0
47,47.000000,93.500419,300.535,1.380998E-009,0.414,655.841,0
48,48.000000,95.056438,300.866,9.333333E-009,2.800,642.000,0
49,49.000000,96.613404,300.901,1.000000E-009,0.133,635.721,0
50,50.000000,98.171284,301.219,9.000000E-009,2.700,636.000,0
51,51.000000,99.730184,301.296,2.214315E-009,0.664,632.441,0
52,52.000000,101.290161,301.634,9.666667E-009,2.900,629.000,0
53,53.000000,102.851115,301.675,1.161252E-009,0.348,633.005,0
54,54.000000,104.412303,301.725,1.433588E-009,0.430,613.612,0
55,55.000000,105.973710,301.759,1.000000E-009,0.051,600.125,0
56,56.000000,107.535297,301.794,1.000000E-009,0.173,604.432,0
57,57.000000,109.097147,301.861,1.930401E-009,0.579,608.000,0
58,58.000000,110.659336,301.925,1.851078E-009,0.555,611.634,0
59,59.000000,112.221858,301.990,1.861597E-009,0.558,607.712,0
60,60.000000,113.784659,302.033,1.254779E-009,0.376,599.189,0
61,61.000000,115.348493,302.389,1.033333E-008,3.100,600.000,0
62,62.000000,116.913336,302.423,1.000000E-009,0.142,578.661,0
63,63.000000,118.479240,302.799,1.100000E-008,3.300,586.000,0
64,64.000000,120.046251,302.851,1.548647E-009,0.465,587.379,0
65,65.000000,121.614217,303.167,9.333333E-009,2.800,577.000,0
66,66.000000,123.183087,303.201,1.000000E-009,0.215,563.895,0
67,67.000000,124.752152,303.243,1.232995E-009,0.370,563.117,0
68,68.000000,126.321560,303.334,2.702627E-009,0.811,575.021,0
69,69.000000,127.891290,303.367,1.000000E-009,0.029,563.000,0
70,70.000000,129.461359,303.464,2.891817E-009,0.868,546.285,0
71,71.000000,131.031766,303.498,1.000000E-009,0.027,549.951,0
72,72.000000,132.603986,304.164,2.000000E-008,,,1
