hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,221.000,2.433333E-008,7.300,471.000,0
1,1.000000,22.650491,223.652,2.333333E-008,7.000,469.000,0
2,2.000000,23.813363,225.790,1.933333E-008,5.800,471.000,0
3,3.000000,24.986888,227.770,1.833333E-008,5.500,459.000,0
4,4.000000,26.175050,231.428,3.500000E-008,10.500,540.000,0
5,5.000000,27.384902,236.135,4.733333E-008,14.200,576.000,0
6,6.000000,28.621877,241.887,6.166667E-008,18.500,570.000,0
7,7.000000,29.883709,245.779,4.433333E-008,13.300,557.000,0
8,8.000000,31.163685,248.910,3.733333E-008,11.200,542.000,0
9,9.000000,32.456558,250.777,2.300000E-008,6.900,529.000,0
10,10.000000,33.759109,252.651,2.366667E-008,7.100,510.000,0
11,11.000000,35.071232,254.478,2.366667E-008,7.100,506.000,0
12,12.000000,36.391527,255.812,1.766667E-008,5.300,518.000,0
13,13.000000,37.717833,256.803,1.333333E-008,4.000,537.000,0
14,14.000000,39.049107,257.732,1.266667E-008,3.800,528.000,0
15,15.000000,40.385405,258.745,1.400000E-008,4.200,523.000,0
16,16.000000,41.727215,259.861,1.566667E-008,4.700,520.000,0
17,17.000000,43.074937,261.030,1.666667E-008,5.000,516.000,0
18,18.000000,44.428477,262.111,1.566667E-008,4.700,527.000,0
19,19.000000,45.787800,263.265,1.700000E-008,5.100,536.000,0
20,20.000000,47.152815,264.311,1.566667E-008,4.700,533.000,0
21,21.000000,48.523881,265.602,1.966667E-008,5.900,530.000,0
22,22.000000,49.901676,266.911,2.033333E-008,6.100,518.000,0
23,23.000000,51.285147,267.798,1.400000E-008,4.200,520.000,0
24,24.000000,52.672315,268.341,8.666667E-009,2.600,511.000,0
25,25.000000,54.065366,270.066,2.800000E-008,8.400,514.000,0
26,26.000000,55.465208,270.971,1.500000E-008,4.500,527.000,0
27,27.000000,56.868623,271.449,8.000000E-009,2.400,533.000,0
28,28.000000,58.274400,271.883,7.333333E-009,2.200,550.000,0
29,29.000000,59.682368,272.296,7.000000E-009,2.100,542.000,0
30,30.000000,61.092311,272.647,6.000000E-009,1.800,545.000,0
31,31.000000,62.504017,272.977,5.666667E-009,1.700,534.000,0
32,32.000000,63.917476,273.325,6.000000E-009,1.800,542.000,0
33,33.000000,65.332629,273.632,5.333333E-009,1.600,523.000,0
34,34.000000,66.749419,273.957,5.666667E-009,1.700,558.000,0
35,35.000000,68.168033,274.337,6.666667E-009,2.000,538.000,0
36,36.000000,69.588608,274.715,6.666667E-009,2.000,527.000,0
37,37.000000,71.011083,275.072,6.333333E-009,1.900,529.000,0
38,38.000000,72.435304,275.389,5.666667E-009,1.700,513.000,0
39,39.000000,73.861164,275.705,5.666667E-009,1.700,514.000,0
40,40.000000,75.288654,276.020,5.666667E-009,1.700,499.000,0
41,41.000000,76.717720,276.314,5.333333E-009,1.600,520.000,0
42,42.000000,78.148306,276.607,5.333333E-009,1.600,506.000,0
43,43.000000,79.580451,276.917,5.666667E-009,1.700,501.000,0
44,44.000000,81.014337,277.279,6.666667E-009,2.000,547.000,0
45,45.000000,82.450139,277.658,7.000000E-009,2.100,539.000,0
46,46.000000,83.888032,278.087,8.000000E-009,2.400,518.000,0
47,47.000000,85.328598,278.691,1.133333E-008,3.400,557.000,0
48,48.000000,86.772227,279.271,1.100000E-008,3.300,556.000,0
49,49.000000,88.218887,279.862,1.133333E-008,3.400,562.000,0
50,50.000000,89.668193,280.294,8.333333E-009,2.500,600.000,0
51,51.000000,91.119635,280.688,7.666667E-009,2.300,585.000,0
52,52.000000,92.573066,281.063,7.333333E-009,2.200,578.000,0
53,53.000000,94.028605,281.502,8.666667E-009,2.600,566.000,0
54,54.000000,95.486411,281.939,8.666667E-009,2.600,558.000,0
55,55.000000,96.946338,282.322,7.666667E-009,2.300,570.000,0
56,56.000000,98.408114,282.654,6.666667E-009,2.000,553.000,0
57,57.000000,99.871643,283.000,7.000000E-009,2.100,564.000,0
58,58.000000,101.336999,283.360,7.333333E-009,2.200,587.000,0
59,59.000000,102.804045,283.653,6.000000E-009,1.800,565.000,0
60,60.000000,104.272772,284.009,7.333333E-009,2.200,576.000,0
61,61.000000,105.743545,284.444,9.000000E-009,2.700,553.000,0
62,62.000000,107.216144,284.715,5.666667E-009,1.700,518.000,0
63,63.000000,108.690269,285.034,6.666667E-009,2.000,528.000,0
64,64.000000,110.166322,285.460,9.000000E-009,2.700,528.000,0
65,65.000000,111.644209,285.743,6.000000E-009,1.800,558.000,0
66,66.000000,113.123394,285.962,4.666667E-009,1.400,556.000,0
67,67.000000,114.603628,286.149,4.000000E-009,1.200,568.000,0
68,68.000000,116.084748,286.304,3.333333E-009,1.000,572.000,0
69,69.000000,117.566671,286.459,3.333333E-009,1.000,571.000,0
70,70.000000,119.049395,286.614,3.333333E-009,1.000,553.000,0
71,71.000000,120.532916,286.768,3.333333E-009,1.000,544.000,0
72,72.000000,122.019212,287.683,2.000000E-008,,,1
