hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,387.000,2.466667E-008,7.400,506.000,0
1,1.000000,23.502630,387.016,2.700000E-008,8.100,537.000,0
2,2.000000,25.505350,387.035,3.066667E-008,9.200,529.000,0
3,3.000000,27.508171,387.055,3.333333E-008,10.000,518.000,0
4,4.000000,29.511082,387.070,2.466667E-008,7.400,497.000,0
5,5.000000,31.514071,387.085,2.533333E-008,7.600,503.000,0
6,6.000000,33.517135,387.099,2.333333E-008,7.000,504.000,0
7,7.000000,35.520263,387.110,1.733333E-008,5.200,476.000,0
8,8.000000,37.523447,387.121,1.933333E-008,5.800,481.000,0
9,9.000000,39.526692,387.133,2.000000E-008,6.000,473.000,0
10,10.000000,41.530001,387.146,2.133333E-008,6.400,501.000,0
11,11.000000,43.533373,387.157,1.966667E-008,5.900,490.000,0
12,12.000000,45.536805,387.169,1.966667E-008,5.900,492.000,0
13,13.000000,47.540298,387.181,1.966667E-008,5.900,487.000,0
14,14.000000,49.543855,387.194,2.233333E-008,6.700,494.000,0
15,15.000000,51.547480,387.207,2.200000E-008,6.600,473.000,0
16,16.000000,53.551173,387.221,2.333333E-008,7.000,477.000,0
17,17.000000,55.554943,387.236,2.633333E-008,7.900,487.000,0
18,18.000000,57.558801,387.255,3.200000E-008,9.600,488.000,0
19,19.000000,59.562759,387.275,3.466667E-008,10.400,468.000,0
20,20.000000,61.566824,387.296,3.533333E-008,10.600,466.000,0
21,21.000000,63.570983,387.312,2.800000E-008,8.400,474.000,0
22,22.000000,65.575221,387.326,2.400000E-008,7.200,474.000,0
23,23.000000,67.579532,387.341,2.566667E-008,7.700,478.000,0
24,24.000000,69.583916,387.354,2.233333E-008,6.700,470.000,0
25,25.000000,71.588362,387.365,1.966667E-008,5.900,484.000,0
26,26.000000,73.592863,387.375,1.733333E-008,5.200,481.000,0
27,27.000000,75.597411,387.383,1.466667E-008,4.400,485.000,0
28,28.000000,77.602003,387.391,1.433333E-008,4.300,485.000,0
29,29.000000,79.606641,387.401,1.700000E-008,5.100,483.000,0
30,30.000000,81.611331,387.411,1.800000E-008,5.400,484.000,0
31,31.000000,83.616079,387.424,2.200000E-008,6.600,480.000,0
32,32.000000,85.620896,387.438,2.433333E-008,7.300,471.000,0
33,33.000000,87.625783,387.451,2.333333E-008,7.000,469.000,0
34,34.000000,89.630733,387.462,1.933333E-008,5.800,471.000,0
35,35.000000,91.635738,387.472,1.833333E-008,5.500,459.000,0
36,36.000000,93.640820,387.492,3.500000E-008,10.500,540.000,0
37,37.000000,95.646023,387.519,4.733333E-008,14.200,576.000,0
38,38.000000,97.651384,387.553,6.166667E-008,18.500,570.000,0
39,39.000000,99.656898,387.578,4.433333E-008,13.300,557.000,0
40,40.000000,101.662529,387.599,3.733333E-008,11.200,542.000,0
41,41.000000,103.668246,387.611,2.300000E-008,6.900,529.000,0
42,42.000000,105.674031,387.624,2.366667E-008,7.100,510.000,0
43,43.000000,107.679883,387.637,2.366667E-008,7.100,506.000,0
44,44.000000,109.685793,387.647,1.766667E-008,5.300,518.000,0
45,45.000000,111.691748,387.654,1.333333E-008,4.000,537.000,0
46,46.000000,113.697740,387.661,1.266667E-008,3.800,528.000,0
47,47.000000,115.703769,387.669,1.400000E-008,4.200,523.000,0
48,48.000000,117.709841,387.678,1.566667E-008,4.700,520.000,0
49,49.000000,119.715958,387.687,1.666667E-008,5.000,516.000,0
50,50.000000,121.722121,387.695,1.566667E-008,4.700,527.000,0
51,51.000000,123.728330,387.705,1.700000E-008,5.100,536.000,0
52,52.000000,125.734585,387.713,1.566667E-008,4.700,533.000,0
53,53.000000,127.740890,387.724,1.966667E-008,5.900,530.000,0
54,54.000000,129.747251,387.735,2.033333E-008,6.100,518.000,0
55,55.000000,131.753660,387.742,1.400000E-008,4.200,520.000,0
56,56.000000,133.760100,387.747,8.666667E-009,2.600,511.000,0
57,57.000000,135.766592,387.762,2.800000E-008,8.400,514.000,0
58,58.000000,137.773144,387.770,1.500000E-008,4.500,527.000,0
59,59.000000,139.779728,387.775,8.000000E-009,2.400,533.000,0
60,60.000000,141.786333,387.778,7.333333E-009,2.200,550.000,0
61,61.000000,143.792959,387.782,7.000000E-009,2.100,542.000,0
62,62.000000,145.799602,387.785,6.000000E-009,1.800,545.000,0
63,63.000000,147.806262,387.788,5.666667E-009,1.700,534.000,0
64,64.000000,149.812937,387.792,6.000000E-009,1.800,542.000,0
65,65.000000,151.819629,387.795,5.333333E-009,1.600,523.000,0
66,66.000000,153.826336,387.798,5.666667E-009,1.700,558.000,0
67,67.000000,155.833059,387.801,6.666667E-009,2.000,538.000,0
68,68.000000,157.839802,387.805,6.666667E-009,2.000,527.000,0
69,69.000000,159.846562,387.808,6.333333E-009,1.900,529.000,0
70,70.000000,161.853339,387.811,5.666667E-009,1.700,513.000,0
71,71.000000,163.860132,387.814,5.666667E-009,1.700,514.000,0
72,72.000000,165.866960,387.825,2.000000E-008,,,1
