hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,916.000,6.666667E-009,2.000,538.000,0
1,1.000000,26.223576,909.688,6.666667E-009,2.000,527.000,0
2,2.000000,30.915681,903.833,6.333333E-009,1.900,529.000,0
3,3.000000,35.579388,898.707,5.666667E-009,1.700,513.000,0
4,4.000000,40.216839,893.685,5.666667E-009,1.700,514.000,0
5,5.000000,44.828561,888.762,5.666667E-009,1.700,499.000,0
6,6.000000,49.415796,884.218,5.333333E-009,1.600,520.000,0
7,7.000000,53.979735,879.758,5.333333E-009,1.600,506.000,0
8,8.000000,58.520100,875.108,5.666667E-009,1.700,501.000,0
9,9.000000,63.034561,869.752,6.666667E-009,2.000,547.000,0
10,10.000000,67.520941,864.256,7.000000E-009,2.100,539.000,0
11,11.000000,71.977240,858.130,8.000000E-009,2.400,518.000,0
12,12.000000,76.395876,849.724,1.133333E-008,3.400,557.000,0
13,13.000000,80.772417,841.855,1.100000E-008,3.300,556.000,0
14,14.000000,85.108353,834.031,1.133333E-008,3.400,562.000,0
15,15.000000,89.409669,828.452,8.333333E-009,2.500,600.000,0
16,16.000000,93.683606,823.445,7.666667E-009,2.300,585.000,0
17,17.000000,97.932482,818.763,7.333333E-009,2.200,578.000,0
18,18.000000,102.155256,813.362,8.666667E-009,2.600,566.000,0
19,19.000000,106.350441,808.099,8.666667E-009,2.600,558.000,0
20,20.000000,110.520263,803.554,7.666667E-009,2.300,570.000,0
21,21.000000,114.668320,799.683,6.666667E-009,2.000,553.000,0
22,22.000000,118.796048,795.697,7.000000E-009,2.100,564.000,0
23,23.000000,122.902877,791.606,7.333333E-009,2.200,587.000,0
24,24.000000,126.990636,788.322,6.000000E-009,1.800,565.000,0
25,25.000000,131.059690,784.381,7.333333E-009,2.200,576.000,0
26,26.000000,135.106299,779.653,9.000000E-009,2.700,553.000,0
27,27.000000,139.133157,776.735,5.666667E-009,1.700,518.000,0
28,28.000000,143.143725,773.359,6.666667E-009,2.000,528.000,0
29,29.000000,147.133993,768.897,9.000000E-009,2.700,528.000,0
30,30.000000,151.105196,765.981,6.000000E-009,1.800,558.000,0
31,31.000000,155.063075,763.744,4.666667E-009,1.400,556.000,0
32,32.000000,159.010267,761.849,4.000000E-009,1.200,568.000,0
33,33.000000,162.948511,760.284,3.333333E-009,1.000,572.000,0
34,34.000000,166.878694,758.734,3.333333E-009,1.000,571.000,0
35,35.000000,170.800886,757.196,3.333333E-009,1.000,553.000,0
36,36.000000,174.715155,755.671,3.333333E-009,1.000,544.000,0
37,37.000000,178.621178,754.009,3.666667E-009,1.100,539.000,0
38,38.000000,182.518641,752.363,3.666667E-009,1.100,527.000,0
39,39.000000,186.408774,751.175,2.666667E-009,0.800,536.000,0
40,40.000000,190.293161,750.142,2.333333E-009,0.700,483.000,0
41,41.000000,194.170705,748.531,3.666667E-009,1.100,499.000,0
42,42.000000,198.040326,747.079,3.333333E-009,1.000,491.000,0
43,43.000000,201.903211,745.927,2.666667E-009,0.800,496.000,0
44,44.000000,205.759782,744.639,3.000000E-009,0.900,501.000,0
45,45.000000,209.610081,743.503,2.666667E-009,0.800,495.000,0
46,46.000000,213.454884,742.514,2.333333E-009,0.700,494.000,0
47,46.402405,215.000000,742.119,2.333333E-009,0.700,496.000,0
