hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,1118.000,2.000000E-008,,,0
1,1.000000,27.192403,1082.707,2.000000E-008,,,0
2,2.000000,32.710944,1050.721,2.000000E-008,,,0
3,3.000000,38.071549,1021.598,2.000000E-008,,,0
4,4.000000,43.288053,994.970,2.000000E-008,,,0
5,5.000000,48.372549,970.530,2.000000E-008,,,0
6,6.000000,53.335668,948.018,2.000000E-008,,,0
7,7.000000,58.186806,927.215,2.000000E-008,,,0
8,8.000000,62.934311,907.935,2.000000E-008,,,0
9,9.000000,67.585628,890.014,2.000000E-008,,,0
10,10.000000,72.147429,873.315,2.000000E-008,,,0
11,11.000000,76.625715,857.717,2.000000E-008,,,0
12,12.000000,81.025903,843.114,2.000000E-008,,,0
13,13.000000,85.352898,829.414,2.000000E-008,,,0
14,14.000000,89.611159,816.535,2.000000E-008,,,0
15,15.000000,93.804749,804.407,2.000000E-008,,,0
16,16.000000,97.937381,792.965,2.000000E-008,,,0
17,17.000000,102.012456,782.152,2.000000E-008,,,0
18,18.000000,106.033099,771.919,2.000000E-008,,,0
19,18.920000,109.686494,762.977,2.000000E-008,,,0
