hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,942.000,1.019840E-008,4.079,437.349,0
1,1.000000,26.367505,939.295,2.570324E-009,1.028,453.235,0
2,2.000000,31.217505,935.240,3.902785E-009,1.561,454.640,0
3,3.000000,36.050051,932.544,2.627055E-009,1.051,451.666,0
4,4.000000,40.868368,929.740,2.760559E-009,1.104,451.894,0
5,5.000000,45.657977,921.486,8.299549E-009,3.320,441.520,0
6,6.000000,50.398608,910.841,1.110055E-008,4.440,438.520,0
7,7.000000,55.105722,908.463,2.543296E-009,1.017,435.076,0
8,8.000000,59.796822,904.657,4.119447E-009,1.648,436.765,0
9,9.000000,64.471214,902.000,2.913362E-009,1.165,421.580,0
10,10.000000,69.127636,897.719,4.759490E-009,1.904,435.390,0
11,11.000000,73.762160,893.537,4.729727E-009,1.892,433.943,0
12,12.000000,78.380998,891.647,2.163299E-009,0.865,437.880,0
13,13.000000,82.970546,882.274,1.098086E-008,4.392,423.276,0
14,14.000000,87.511761,872.966,1.133451E-008,4.534,423.049,0
15,15.000000,92.014824,867.489,6.881154E-009,2.752,406.754,0
16,16.000000,96.488266,861.522,7.682695E-009,3.073,405.228,0
17,17.000000,100.937102,857.963,4.676939E-009,1.871,409.191,0
18,18.000000,105.355126,849.654,1.120821E-008,4.483,406.944,0
19,19.000000,109.731459,841.844,1.091917E-008,4.368,407.189,0
20,20.000000,114.083768,840.325,2.169017E-009,0.868,411.359,0
21,21.000000,118.422762,836.706,5.228146E-009,2.091,404.850,0
22,22.000000,122.738090,831.192,8.133934E-009,3.254,395.409,0
23,23.000000,127.025784,826.023,7.816609E-009,3.127,414.667,0
24,24.000000,131.278588,817.740,1.292765E-008,5.171,407.325,0
25,25.000000,135.497548,812.907,7.784166E-009,3.114,396.186,0
26,26.000000,139.693289,808.762,6.821880E-009,2.729,399.674,0
27,27.000000,143.867056,804.415,7.303900E-009,2.922,389.310,0
28,28.000000,148.014619,798.646,9.940111E-009,3.976,377.417,0
29,29.000000,152.136150,794.342,7.605184E-009,3.042,390.299,0
30,30.000000,156.227795,787.123,1.313489E-008,5.254,381.814,0
31,31.000000,160.288830,782.486,8.699986E-009,3.480,369.936,0
32,32.000000,164.331186,779.891,4.961026E-009,1.984,369.400,0
33,33.000000,168.358358,776.621,6.348280E-009,2.539,385.106,0
34,34.000000,172.368791,773.421,6.320636E-009,2.528,366.042,0
35,35.000000,176.361487,769.768,7.347832E-009,2.939,375.661,0
36,36.000000,180.335807,766.317,7.077387E-009,2.831,381.057,0
37,37.000000,184.281027,758.566,1.639266E-008,6.557,392.404,0
38,38.000000,188.187733,751.424,1.574356E-008,6.297,449.314,0
39,39.000000,192.058793,744.783,1.522418E-008,6.090,466.591,0
40,40.000000,195.862118,725.569,4.754750E-008,19.019,455.845,0
41,41.000000,199.591092,715.779,2.645318E-008,10.581,438.138,0
42,42.000000,203.255548,700.777,4.387412E-008,17.550,437.095,0
43,43.000000,206.844513,686.587,4.572863E-008,18.291,433.767,0
44,44.000000,210.390377,683.898,9.179729E-009,3.672,433.663,0
45,45.000000,213.899272,672.447,4.112324E-008,16.449,423.280,0
46,45.317108,215.000000,671.406,1.243224E-008,4.973,410.204,0
