hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,768.000,1.019840E-008,4.079,437.349,0
1,1.000000,25.470892,766.751,2.570324E-009,1.028,453.235,0
2,2.000000,29.433684,764.871,3.902785E-009,1.561,454.640,0
3,3.000000,33.388369,763.616,2.627055E-009,1.051,451.666,0
4,4.000000,37.336420,762.307,2.760559E-009,1.104,451.894,0
5,5.000000,41.271013,758.427,8.299549E-009,3.320,441.520,0
6,6.000000,45.182445,753.366,1.110055E-008,4.440,438.520,0
7,7.000000,49.077892,752.226,2.543296E-009,1.017,435.076,0
8,8.000000,52.965651,750.396,4.119447E-009,1.648,436.765,0
9,9.000000,56.845358,749.113,2.913362E-009,1.165,421.580,0
10,10.000000,60.716368,747.037,4.759490E-009,1.904,435.390,0
11,11.000000,64.576733,744.998,4.729727E-009,1.892,433.943,0
12,12.000000,68.429440,744.074,2.163299E-009,0.865,437.880,0
13,13.000000,72.267757,739.457,1.098086E-008,4.392,423.276,0
14,14.000000,76.082128,734.819,1.133451E-008,4.534,423.049,0
15,15.000000,79.877409,732.065,6.881154E-009,2.752,406.754,0
16,16.000000,83.657741,729.043,7.682695E-009,3.073,405.228,0
17,17.000000,87.425579,727.230,4.676939E-009,1.871,409.191,0
18,18.000000,91.177654,722.966,1.120821E-008,4.483,406.944,0
19,19.000000,94.908224,718.917,1.091917E-008,4.368,407.189,0
20,20.000000,98.626311,718.125,2.169017E-009,0.868,411.359,0
21,21.000000,102.337442,716.231,5.228146E-009,2.091,404.850,0
22,22.000000,106.036153,713.330,8.133934E-009,3.254,395.409,0
23,23.000000,109.720275,710.591,7.816609E-009,3.127,414.667,0
24,24.000000,113.385827,706.166,1.292765E-008,5.171,407.325,0
25,25.000000,117.033225,703.561,7.784166E-009,3.114,396.186,0
26,26.000000,120.668078,701.315,6.821880E-009,2.729,399.674,0
27,27.000000,124.290989,698.946,7.303900E-009,2.922,389.310,0
28,28.000000,127.899572,695.782,9.940111E-009,3.976,377.417,0
29,29.000000,131.493834,693.406,7.605184E-009,3.042,390.299,0
30,30.000000,135.071528,689.391,1.313489E-008,5.254,381.814,0
31,31.000000,138.632137,686.792,8.699986E-009,3.480,369.936,0
32,32.000000,142.182253,685.330,4.961026E-009,1.984,369.400,0
33,33.000000,145.723800,683.482,6.348280E-009,2.539,385.106,0
34,34.000000,149.255865,681.665,6.320636E-009,2.528,366.042,0
35,35.000000,152.777835,679.582,7.347832E-009,2.939,375.661,0
36,36.000000,156.289301,677.604,7.077387E-009,2.831,381.057,0
37,37.000000,159.784023,673.130,1.639266E-008,6.557,392.404,0
38,38.000000,163.256403,668.966,1.574356E-008,6.297,449.314,0
39,39.000000,166.707907,665.059,1.522418E-008,6.090,466.591,0
40,40.000000,170.119145,653.555,4.754750E-008,19.019,455.845,0
41,41.000000,173.485470,647.577,2.645318E-008,10.581,438.138,0
42,42.000000,176.812036,638.260,4.387412E-008,17.550,437.095,0
43,43.000000,180.091240,629.267,4.572863E-008,18.291,433.767,0
44,44.000000,183.343003,627.543,9.179729E-009,3.672,433.663,0
45,45.000000,186.570920,620.128,4.112324E-008,16.449,423.280,0
46,46.000000,189.774287,617.981,1.243224E-008,4.973,410.204,0
47,47.000000,192.963080,614.507,2.063834E-008,8.255,404.205,0
48,48.000000,196.132527,610.510,2.458612E-008,9.834,410.800,0
49,49.000000,199.279478,605.822,3.005505E-008,12.022,420.446,0
50,50.000000,202.407006,602.981,1.888852E-008,7.555,426.369,0
51,51.000000,205.521662,600.841,1.458173E-008,5.833,420.754,0
52,52.000000,208.622284,597.567,2.291599E-008,9.166,435.501,0
53,53.000000,211.704585,593.766,2.758179E-008,11.033,451.808,0
54,54.000000,214.765558,589.334,3.356021E-008,13.424,470.018,0
55,54.076997,215.000000,589.192,1.444178E-008,5.777,495.216,0
