hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,1473.000,4.750000E-009,1.900,497.000,0
1,1.000000,29.069312,1452.669,5.000000E-009,2.000,497.000,0
2,2.000000,36.527857,1430.220,5.750000E-009,2.300,487.000,0
3,3.000000,43.872688,1408.709,5.750000E-009,2.300,481.000,0
4,4.000000,51.108507,1388.077,5.750000E-009,2.300,480.000,0
5,5.000000,58.237517,1367.430,6.000000E-009,2.400,466.000,0
6,6.000000,65.259774,1346.820,6.250000E-009,2.500,468.000,0
7,7.000000,72.177633,1327.071,6.250000E-009,2.500,460.000,0
8,8.000000,78.983760,1303.696,7.750000E-009,3.100,472.000,0
9,9.000000,85.671945,1281.472,7.750000E-009,3.100,463.000,0
10,10.000000,92.247919,1260.314,7.750000E-009,3.100,444.000,0
11,11.000000,98.718678,1240.784,7.500000E-009,3.000,434.000,0
12,12.000000,105.092242,1222.729,7.250000E-009,2.900,430.000,0
13,13.000000,111.374366,1205.434,7.250000E-009,2.900,430.000,0
14,14.000000,117.570326,1189.411,7.000000E-009,2.800,424.000,0
15,15.000000,123.685007,1174.014,7.000000E-009,2.800,418.000,0
16,16.000000,129.724272,1160.244,6.500000E-009,2.600,416.000,0
17,17.000000,135.692227,1146.454,6.750000E-009,2.700,430.000,0
18,18.000000,141.591375,1133.640,6.500000E-009,2.600,428.000,0
19,19.000000,147.427793,1122.196,6.000000E-009,2.400,427.000,0
20,20.000000,153.205907,1111.103,6.000000E-009,2.400,422.000,0
21,21.000000,158.927495,1100.346,6.000000E-009,2.400,423.000,0
22,22.000000,164.593135,1089.481,6.250000E-009,2.500,418.000,0
23,23.000000,170.193695,1075.235,8.500000E-009,3.400,430.000,0
24,24.000000,175.725147,1062.749,7.750000E-009,3.100,440.000,0
25,25.000000,181.146147,1032.925,1.975000E-008,7.900,679.000,0
26,26.000000,186.286592,957.082,5.975000E-008,23.900,1125.000,0
