hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,630.000,1.679809E-009,0.672,488.943,0
1,1.000000,24.759533,629.810,1.000000E-009,0.314,495.489,0
2,2.000000,28.017972,629.577,1.225369E-009,0.490,479.396,0
3,3.000000,31.275175,629.332,1.292073E-009,0.517,473.713,0
4,4.000000,34.527600,627.734,8.500000E-009,3.400,474.000,0
5,5.000000,37.775378,627.532,1.080825E-009,0.432,462.468,0
6,6.000000,41.021657,627.155,2.030160E-009,0.812,470.693,0
7,7.000000,44.263607,625.862,7.000000E-009,2.800,466.000,0
8,8.000000,47.501134,625.442,2.287417E-009,0.915,450.767,0
9,9.000000,50.736929,625.193,1.366233E-009,0.546,440.632,0
10,10.000000,53.971276,624.883,1.701340E-009,0.681,440.741,0
11,11.000000,57.203494,624.370,2.820138E-009,1.128,439.352,0
12,12.000000,60.429840,622.617,9.750000E-009,3.900,442.000,0
13,13.000000,63.650151,622.034,3.278761E-009,1.312,453.163,0
14,14.000000,66.867047,621.297,4.162580E-009,1.665,446.185,0
15,15.000000,70.080019,620.517,4.440120E-009,1.776,447.596,0
16,16.000000,73.290387,620.290,1.297396E-009,0.519,445.000,0
17,17.000000,76.498537,619.660,3.618306E-009,1.447,448.505,0
18,18.000000,79.703583,619.091,3.287251E-009,1.315,443.275,0
19,19.000000,82.906260,618.744,2.007384E-009,0.803,434.394,0
20,20.000000,86.107048,618.361,2.230248E-009,0.892,433.273,0
21,21.000000,89.305002,617.649,4.158318E-009,1.663,423.223,0
22,22.000000,92.495855,615.622,1.200000E-008,4.800,424.000,0
23,23.000000,95.680590,615.278,2.057388E-009,0.823,415.627,0
24,24.000000,98.863703,614.995,1.696919E-009,0.679,420.562,0
25,25.000000,102.044821,614.507,2.938921E-009,1.176,414.949,0
26,26.000000,105.224004,614.247,1.576055E-009,0.630,404.192,0
27,27.000000,108.402067,614.075,1.040986E-009,0.416,410.757,0
28,28.000000,111.574173,611.951,1.300000E-008,5.200,416.000,0
29,29.000000,114.739480,611.440,3.167921E-009,1.267,397.551,0
30,30.000000,117.902335,611.004,2.718758E-009,1.088,392.892,0
31,31.000000,121.061853,610.152,5.336930E-009,2.135,406.856,0
32,32.000000,124.217174,609.381,4.865168E-009,1.946,395.511,0
33,33.000000,127.368664,608.671,4.515676E-009,1.806,391.487,0
34,34.000000,130.513380,606.768,1.225000E-008,4.900,396.000,0
35,35.000000,133.651821,606.240,3.438730E-009,1.375,416.611,0
36,36.000000,136.787820,605.824,2.720359E-009,1.088,408.179,0
37,37.000000,139.921697,605.419,2.660355E-009,1.064,405.994,0
38,38.000000,143.054134,605.268,1.000000E-009,0.209,404.312,0
39,39.000000,146.185594,605.042,1.487864E-009,0.595,392.017,0
40,40.000000,149.315403,604.629,2.732548E-009,1.093,394.000,0
41,41.000000,152.443090,604.222,2.709111E-009,1.084,390.532,0
42,42.000000,155.569334,604.072,1.000000E-009,0.112,385.148,0
43,43.000000,158.694803,603.922,1.000000E-009,0.211,373.758,0
44,44.000000,161.819497,603.772,1.000000E-009,0.109,364.849,0
45,45.000000,164.943417,603.623,1.000000E-009,0.254,384.806,0
46,46.000000,168.063013,602.104,1.025000E-008,4.100,368.000,0
47,47.000000,171.178309,601.957,1.000000E-009,0.273,391.807,0
48,48.000000,174.292845,601.811,1.000000E-009,0.347,395.464,0
49,49.000000,177.406147,601.481,2.254231E-009,0.902,368.864,0
50,50.000000,180.517513,601.063,2.868010E-009,1.147,357.730,0
51,51.000000,183.626180,600.438,4.306198E-009,1.722,360.345,0
52,52.000000,186.732857,600.293,1.000000E-009,0.283,355.000,0
53,53.000000,189.838788,600.149,1.000000E-009,0.321,358.080,0
54,54.000000,192.943968,600.003,1.010537E-009,0.404,356.358,0
55,55.000000,196.047787,599.623,2.647414E-009,1.059,353.695,0
56,56.000000,199.149671,599.256,2.563307E-009,1.025,352.675,0
57,57.000000,202.249679,598.898,2.509020E-009,1.004,343.629,0
58,58.000000,205.347743,598.504,2.768878E-009,1.108,341.237,0
59,59.000000,208.443745,598.101,2.849560E-009,1.140,335.696,0
60,60.000000,211.537664,597.699,2.849460E-009,1.140,335.565,0
61,61.000000,214.629601,597.335,2.592758E-009,1.037,331.831,0
62,61.119854,215.000000,597.308,1.625223E-009,0.650,361.052,0
