hour_index,time_hours,r_solar_radii,speed_km_s,gamma_km_inv,n_obs,v_obs,gamma_fellback
0,0.000000,21.500000,630.000,1.868753E-008,3.664,488.943,0
1,1.000000,24.752079,626.942,1.627296E-008,3.191,495.489,0
2,2.000000,27.987972,623.745,1.748772E-008,3.429,479.396,0
3,3.000000,31.206858,620.371,1.900991E-008,3.727,473.713,0
4,4.000000,34.409284,617.380,1.734142E-008,3.400,474.000,0
5,5.000000,37.596990,614.679,1.607965E-008,3.153,462.468,0
6,6.000000,40.770576,611.924,1.682232E-008,3.298,470.693,0
7,7.000000,43.931133,609.640,1.428117E-008,2.800,466.000,0
8,8.000000,47.077149,606.313,2.136471E-008,4.189,450.767,0
9,9.000000,50.206164,603.068,2.151392E-008,4.218,440.632,0
10,10.000000,53.318731,599.955,2.129884E-008,4.176,440.741,0
11,11.000000,56.415168,596.834,2.202502E-008,4.318,439.352,0
12,12.000000,59.496461,594.098,1.989163E-008,3.900,442.000,0
13,13.000000,62.563511,591.330,2.070778E-008,4.060,453.163,0
14,14.000000,65.616004,588.473,2.200825E-008,4.315,446.185,0
15,15.000000,68.653339,585.473,2.383409E-008,4.673,447.596,0
16,16.000000,71.676136,582.850,2.148619E-008,4.213,445.000,0
17,17.000000,74.685366,580.230,2.208716E-008,4.330,448.505,0
18,18.000000,77.680595,577.441,2.422618E-008,4.750,443.275,0
19,19.000000,80.661580,574.724,2.434036E-008,4.772,434.394,0
20,20.000000,83.628249,571.908,2.603807E-008,5.105,433.273,0
21,21.000000,86.580493,569.149,2.636287E-008,5.169,423.223,0
22,22.000000,89.519175,566.664,2.448201E-008,4.800,424.000,0
23,23.000000,92.444789,564.099,2.605609E-008,5.109,415.627,0
24,24.000000,95.357524,561.685,2.526743E-008,4.954,420.562,0
25,25.000000,98.257865,559.308,2.563180E-008,5.025,414.949,0
26,26.000000,101.145749,556.871,2.709222E-008,5.312,404.192,0
27,27.000000,104.021085,554.459,2.765539E-008,5.422,410.757,0
28,28.000000,106.884375,552.214,2.652218E-008,5.200,416.000,0
29,29.000000,109.735685,549.830,2.903687E-008,5.693,397.551,0
30,30.000000,112.574958,547.560,2.851338E-008,5.590,392.892,0
31,31.000000,115.402577,545.325,2.895131E-008,5.676,406.856,0
32,32.000000,118.218867,543.181,2.862336E-008,5.612,395.511,0
33,33.000000,121.024621,541.251,2.650800E-008,5.197,391.487,0
34,34.000000,123.820799,539.479,2.499205E-008,4.900,396.000,0
35,35.000000,126.607595,537.626,2.680494E-008,5.255,416.611,0
36,36.000000,129.384947,535.828,2.672631E-008,5.240,408.179,0
37,37.000000,132.152776,533.947,2.871673E-008,5.630,405.994,0
38,38.000000,134.910299,531.847,3.302983E-008,6.476,404.312,0
39,39.000000,137.658120,530.193,2.676946E-008,5.248,392.017,0
40,40.000000,140.394451,527.419,4.644294E-008,9.106,394.000,0
41,41.000000,143.120265,526.112,2.258720E-008,4.428,390.532,0
42,42.000000,145.837611,524.152,3.478101E-008,6.819,385.148,0
43,43.000000,148.546582,522.870,2.335129E-008,4.578,373.758,0
44,44.000000,151.249150,521.677,2.216744E-008,4.346,364.849,0
45,45.000000,153.945598,520.505,2.220411E-008,4.353,384.806,0
46,46.000000,156.636213,519.421,2.091172E-008,4.100,368.000,0
47,47.000000,159.321059,518.276,2.252467E-008,4.416,391.807,0
48,48.000000,161.997586,516.214,4.166959E-008,8.170,395.464,0
49,49.000000,164.665681,515.009,2.503908E-008,4.909,368.864,0
50,50.000000,167.327684,513.859,2.439732E-008,4.783,357.730,0
51,51.000000,169.983901,512.772,2.350685E-008,4.609,360.345,0
52,52.000000,172.634234,511.585,2.620602E-008,5.138,355.000,0
53,53.000000,175.278051,510.256,3.001761E-008,5.885,358.080,0
54,54.000000,177.915282,509.038,2.812593E-008,5.514,356.358,0
55,55.000000,180.544736,507.255,4.235099E-008,8.303,353.695,0
56,56.000000,183.166821,506.184,2.612828E-008,5.123,352.675,0
57,57.000000,185.783462,505.151,2.570492E-008,5.040,343.629,0
58,58.000000,188.394775,504.125,2.603432E-008,5.104,341.237,0
59,59.000000,191.000589,503.027,2.843751E-008,5.576,335.696,0
60,60.000000,193.600648,501.900,2.979368E-008,5.841,335.565,0
61,61.000000,196.191568,499.509,6.551884E-008,12.846,331.831,0
62,62.000000,198.773965,498.591,2.599778E-008,5.097,361.052,0
63,63.000000,201.351634,497.682,2.622004E-008,5.141,354.043,0
64,64.000000,203.924544,496.751,2.735266E-008,5.363,357.000,0
65,65.000000,206.492381,495.722,3.086656E-008,6.052,344.679,0
66,66.000000,209.054906,494.698,3.137571E-008,6.152,333.868,0
67,67.000000,211.612479,493.807,2.786703E-008,5.464,331.480,0
68,68.000000,214.164867,492.696,3.549798E-008,6.960,369.098,0
69,68.328095,215.000000,492.175,5.215221E-008,10.225,371.693,0
